time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,time,total_squared_error,marker_error_RMS,marker_error_max,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51
0.00000000,5.96105573,-2.46977791,-0.78268210,-0.49413594,0.58526712,-0.65091901,85.62469282,-15.48857933,0.37653664,109.71511022,1.91488991,24.49131817,6.82719484,-4.27707044,88.83552718,-18.10592003,9.94044046,111.39143897,1.94414737,21.91672181,20.20997264,-4.27707044,-30.06379328,0.06615941,1.80575307,4.20544389,-8.98555156,16.23028265,124.42284296,97.50824101,7.58732426,-12.84155155,26.29216289,122.12945662,97.75345519,0.00000000,0.01626344,0.01944786,0.04151933,1,0.00000000,-165.46233,513.54027,-361.71970,-112.45239,392.68288,-382.36322,-282.75368,102.65479,-421.14223,-350.81905,69.36990,-472.94719,-156.51430,39.01394,-372.35516,-115.45927,60.59542,-443.94152,-174.15614,503.28850,-945.05161,-114.39272,401.29054,-926.56106,-292.34677,96.21238,-903.67339,-364.72321,69.59670,-853.58943,-155.88033,35.42673,-925.73531,-126.29667,59.34094,-856.75121,-140.92008,286.79819,-415.38866,-177.19978,395.21782,-339.02024,-197.73863,281.17965,-353.03489,-194.42693,421.80914,-967.73245,-206.80201,301.29964,-974.17842,-381.56202,611.48946,-462.51687,-273.24355,616.67314,-439.95703,-260.54997,597.24879,-376.20628,-398.20165,547.24846,-371.22780,-279.15862,547.71239,-355.31386,-412.14129,591.03963,-863.23465,-278.20775,602.68874,-897.52738,-420.43568,499.97662,-927.92565,-284.28248,505.24851,-953.17957,-504.76054,592.10176,-527.98347,-668.80996,610.45898,-602.64973,-476.89233,581.24613,-767.25663,-669.61452,608.18948,-699.17509,-532.29330,1104.09524,-672.90539,-461.50360,1023.97815,-481.08820,-449.73335,1021.67375,-841.50126,-414.58038,996.12988,-644.21031,-414.50218,991.01689,-685.01245,-472.14412,855.96742,-404.24598,-588.57825,651.30958,-431.54097,-542.91328,671.36954,-351.62747,-410.26044,722.35081,-438.14675,-319.48305,745.00594,-504.95715,-307.84226,703.26332,-511.81773,-456.52806,844.82270,-919.68312,-579.54060,642.17738,-909.19497,-517.20924,658.81669,-970.66624,-415.07784,720.11042,-862.16274,-321.10531,734.30797,-796.35287,-311.15629,688.76905,-794.93616,-560.85705,505.60445,-547.27715,-545.98469,487.46209,-759.37560,-552.93170,512.61154,-558.45943,-554.25789,508.87081,-717.55910
0.01000000,6.05669033,-2.52778729,-0.78333651,-0.49438339,0.58562471,-0.65082861,85.46139516,-15.40295683,0.33721445,109.66417937,1.91400100,24.54816002,6.82687124,-4.90705435,88.72014943,-18.12429300,10.01110977,111.33548097,1.94317072,21.94969813,20.33612980,-4.90705435,-30.29826301,0.12447892,1.79736848,4.33013585,-9.01391505,16.41731690,124.72720857,94.29837807,7.75013564,-12.91993594,26.48984892,122.58117308,94.66179537,0.01000000,0.01619600,0.01940750,0.04134954,2,0.01000000,-165.45701,513.59055,-362.21859,-112.45936,392.69265,-382.65173,-282.82768,102.62486,-420.98169,-350.93022,69.31940,-472.92878,-156.45962,38.98790,-372.37250,-115.38309,60.83549,-443.77679,-174.14953,503.21660,-944.97530,-114.28248,401.14986,-926.50056,-292.26927,96.11534,-903.71306,-364.80473,69.44929,-853.54902,-155.88827,35.40543,-925.74350,-126.29313,59.34045,-856.78705,-140.97082,286.77732,-415.65983,-177.24645,395.44128,-339.17273,-197.37427,280.80784,-353.58178,-194.29738,421.72719,-967.67742,-206.73841,301.23440,-974.05956,-381.59512,611.83992,-462.52687,-273.24605,616.67739,-440.28250,-260.38275,597.31000,-376.35799,-398.23487,547.26973,-371.22605,-279.01805,547.81938,-355.42527,-412.14169,591.03191,-863.29837,-278.14052,602.52977,-897.34659,-420.41716,499.93133,-927.95041,-284.26187,505.19686,-953.17995,-505.03974,592.78466,-527.62502,-668.96633,610.35595,-602.53787,-477.07698,581.36932,-767.43869,-670.02257,608.26042,-698.96502,-531.81885,1103.92666,-672.75167,-460.99741,1024.07693,-480.93824,-449.19595,1021.30915,-841.29173,-414.13723,995.88256,-644.11956,-414.01324,990.74337,-685.01493,-471.86591,855.95074,-404.14521,-588.43165,651.33335,-431.44830,-542.63380,671.48440,-351.41256,-410.02966,722.29167,-438.13860,-319.34941,744.92861,-504.97743,-307.74937,703.20447,-511.79365,-455.95970,844.92918,-920.15013,-578.54889,642.23653,-909.42007,-516.21991,659.13440,-971.12602,-414.46368,720.33305,-862.17184,-320.69021,734.54440,-796.36876,-310.71014,688.85880,-794.66379,-560.85702,506.04296,-546.98221,-546.03408,487.52219,-759.05042,-552.54739,512.36273,-558.14483,-554.29618,508.89703,-717.62527
0.02000000,6.07610008,-2.59418219,-0.83353785,-0.49463899,0.58580394,-0.65066749,85.38883230,-15.24387022,0.30757532,109.60040517,1.91288793,24.57935211,6.72332458,-5.28709909,88.69322786,-18.17031390,10.10815431,111.29415200,1.94244939,22.06917517,20.43860001,-5.28709909,-30.44974985,0.17903116,1.85522481,4.49287857,-9.09520621,16.63926005,124.90029621,92.41646299,7.98360064,-13.08240889,26.72646212,122.87605110,92.95974263,0.02000000,0.01614295,0.01937569,0.04113361,3,0.02000000,-165.50849,513.63673,-362.87578,-112.47240,392.71892,-382.99560,-282.91198,102.54330,-420.79411,-351.07881,69.23110,-472.85050,-156.43958,39.04620,-372.42104,-115.34826,61.16115,-443.61050,-174.13255,503.13423,-944.86484,-114.11602,400.93166,-926.20150,-292.22434,96.00320,-903.77289,-364.81564,69.48875,-853.85512,-155.89545,35.38868,-925.74503,-126.31466,59.38107,-856.80600,-141.08114,286.75559,-415.99005,-177.21608,395.68520,-339.35144,-197.62794,281.03973,-353.62962,-194.09350,421.54313,-967.51758,-206.56798,301.11467,-973.85201,-381.70712,612.10654,-462.46664,-273.28888,616.74177,-440.56655,-260.36986,597.35631,-376.56971,-398.23197,547.39347,-371.32495,-278.96073,547.92312,-355.66228,-412.17299,591.00428,-863.18760,-278.03954,602.32495,-897.14498,-420.36599,499.89084,-928.08637,-284.22797,505.06440,-953.13273,-505.39346,593.26420,-527.16968,-669.24506,610.30792,-602.46544,-477.27645,581.19911,-767.43167,-670.67032,608.29520,-698.93539,-531.21280,1103.76197,-672.63381,-460.29693,1024.15972,-480.70748,-448.57693,1021.04980,-841.10433,-413.45402,995.58085,-643.96800,-413.44405,990.57540,-684.86935,-471.40056,856.06106,-403.99025,-587.81126,651.24628,-431.07171,-542.20981,671.64875,-351.13138,-409.61987,722.33639,-437.98433,-319.05578,744.82236,-505.08136,-307.47248,703.12105,-511.86508,-455.32547,845.09355,-920.43863,-577.22990,642.33169,-910.10529,-514.86507,659.56384,-971.91234,-413.63008,720.69426,-862.31401,-320.11921,734.89818,-796.33828,-309.98539,689.19965,-794.68851,-561.17050,506.36119,-546.62353,-546.26395,487.37408,-758.64807,-552.29786,512.10311,-557.57701,-554.65914,508.76653,-717.37480
0.03000000,6.26951630,-2.50872663,-0.79453974,-0.49513614,0.58663476,-0.65096658,85.14584643,-15.27342130,0.45066756,109.51700984,1.91143241,24.76471206,6.94982026,-5.71955976,88.34049713,-18.05315100,9.95468929,111.16100161,1.94012548,21.93343196,20.20833970,-5.71955976,-30.91279507,0.13408097,1.91310466,4.63910170,-9.15853651,16.32935402,124.65566656,98.15287985,8.54060274,-13.26541710,26.75079365,122.20645248,99.34076825,0.03000000,0.01583100,0.01918757,0.04069227,4,0.03000000,-165.59734,513.69036,-363.51576,-112.52718,392.73122,-383.51644,-283.03136,102.40134,-420.62239,-351.24413,69.10131,-472.75818,-156.45562,39.10386,-372.46165,-115.39749,61.56995,-443.40573,-174.11422,503.03273,-944.63286,-113.93104,400.70759,-925.66033,-292.21850,95.87147,-903.85506,-364.75535,69.74895,-854.58623,-155.90057,35.39074,-925.73948,-126.35642,59.50278,-856.82989,-141.25978,286.71298,-416.30802,-177.16652,395.94955,-339.55755,-197.88801,281.24335,-353.82363,-193.79924,421.26330,-967.18931,-206.26507,300.97055,-973.62404,-381.88974,612.46906,-462.36826,-273.34761,616.81784,-440.83897,-260.42074,597.42020,-376.90207,-398.23803,547.46235,-371.64847,-279.01034,547.97303,-356.09894,-412.20738,591.24155,-863.94364,-277.96154,602.15203,-897.03727,-420.27310,499.85770,-928.42032,-284.16914,504.88329,-953.08516,-505.84879,594.00161,-526.65532,-669.57214,610.24289,-602.49515,-477.90086,582.09318,-768.53822,-671.30655,608.35146,-699.15864,-530.42180,1103.58826,-672.46284,-459.34154,1024.20834,-480.43134,-447.84316,1021.01127,-840.98027,-412.52228,995.18674,-643.85326,-412.65482,990.36127,-684.69837,-470.73313,856.32988,-403.64352,-586.89558,651.32186,-430.51624,-541.53408,671.98909,-350.62168,-409.01635,722.50231,-437.75765,-318.54764,744.75097,-505.23785,-307.07176,703.05714,-512.04304,-454.56900,845.56743,-920.60611,-575.38469,642.48657,-911.58354,-512.97125,660.25762,-973.25447,-412.51870,721.25609,-862.64486,-319.30504,735.42380,-796.19672,-308.93315,689.83624,-794.94008,-561.14536,506.81070,-546.90195,-546.41000,487.98789,-758.95220,-552.16336,512.01885,-557.24966,-555.04572,508.87296,-718.09069
0.04000000,6.71416177,-2.30774372,-0.59340680,-0.49591654,0.58828788,-0.65187336,84.61621826,-15.56572827,0.65286109,109.40083397,1.90940476,24.80983619,6.84437223,-5.92371787,87.57249440,-17.68572694,9.66323477,110.95227291,1.93648247,22.18685750,20.33115394,-5.92371787,-31.72939214,0.08639726,1.60530308,5.07630171,-9.35149094,16.75013611,125.05554375,94.07317866,9.14283687,-13.60966139,27.26255910,122.87326997,95.31618367,0.04000000,0.01539257,0.01892001,0.03964694,5,0.04000000,-165.68283,513.78928,-364.00829,-112.67885,392.71886,-384.20082,-283.21656,102.23066,-420.54224,-351.39630,68.93014,-472.71644,-156.53959,39.07384,-372.41840,-115.55475,61.98498,-443.14460,-174.15101,502.89802,-944.11413,-113.81457,400.57959,-925.04811,-292.24255,95.72768,-903.92658,-364.72510,70.00063,-855.31967,-155.90704,35.41376,-925.73003,-126.41556,59.67923,-856.85130,-141.46913,286.64428,-416.62930,-177.24017,396.13189,-339.85501,-197.70339,280.99476,-354.54892,-193.47024,421.01909,-966.78755,-205.91197,300.87269,-973.43123,-382.06113,613.06416,-462.24168,-273.36131,616.86858,-441.17754,-260.41836,597.46024,-377.34649,-398.24133,547.43029,-372.04908,-279.09241,547.94999,-356.63325,-412.25420,591.81446,-866.03962,-277.96727,602.07294,-897.04292,-420.19582,499.72912,-928.79681,-284.09276,504.69032,-952.98982,-506.38675,595.29412,-526.01025,-669.89766,610.06690,-602.64289,-479.11917,584.77867,-771.33439,-671.92442,608.25702,-699.31553,-529.44666,1103.36142,-672.18657,-458.11395,1024.23722,-480.21122,-446.95790,1021.18476,-840.84571,-411.39203,994.69081,-643.77472,-411.63510,989.90824,-684.75943,-469.89042,856.74557,-403.09094,-585.99791,651.94215,-429.82362,-540.53940,672.57887,-349.84257,-408.21674,722.79405,-437.57244,-317.83568,744.86802,-505.33081,-306.62092,703.13306,-512.22221,-453.59420,846.59684,-920.95648,-572.89795,642.73481,-914.01243,-510.39175,661.30135,-975.23663,-411.06695,722.02497,-863.25711,-318.17470,736.20050,-796.04122,-307.58170,690.61155,-795.06887,-560.32184,507.55147,-548.01065,-546.27734,489.81469,-760.18968,-551.98458,512.40742,-557.11000,-555.39869,509.36092,-720.11555
0.05000000,7.02413219,-2.19289580,-0.44237425,-0.49669791,0.58960366,-0.65240071,84.19154963,-15.72302532,0.77559222,109.26583680,1.90704861,25.01377381,6.91962579,-6.00199049,87.02662604,-17.36621678,9.49389562,110.76009672,1.93312837,22.11022204,20.08640763,-6.00199049,-32.43389248,0.05013392,1.46133524,5.45818212,-9.56835525,16.96665620,125.32276349,93.59355627,9.94419011,-14.13377012,27.81342975,123.17683431,94.86849845,0.05000000,0.01490719,0.01861931,0.03811254,6,0.05000000,-165.75955,513.91554,-364.47840,-112.90929,392.71504,-384.87016,-283.47927,102.03260,-420.56477,-351.54811,68.66300,-472.68696,-156.72014,39.05344,-372.29874,-115.78530,62.39808,-442.89914,-174.29205,502.73181,-943.26204,-113.81414,400.55090,-924.42108,-292.28120,95.59012,-903.99004,-364.80162,70.02265,-855.64303,-155.91594,35.44182,-925.69483,-126.49843,59.83892,-856.81386,-141.68001,286.57952,-417.12473,-177.42766,396.14641,-340.30376,-197.54917,280.78787,-355.24905,-193.19477,420.92513,-966.43899,-205.59566,300.82830,-973.18154,-382.26563,613.66299,-462.17612,-273.33399,616.92272,-441.56969,-260.39444,597.40517,-377.77216,-398.19736,547.45113,-372.25614,-279.13203,547.85777,-357.13518,-412.47743,592.09581,-867.37233,-278.09863,602.03804,-897.03974,-420.20071,499.43599,-928.97741,-284.03980,504.45996,-952.70736,-506.95846,596.59403,-525.41957,-670.28108,609.86631,-602.86024,-480.12316,586.42313,-773.15825,-672.78305,607.99476,-699.07813,-528.27884,1103.06691,-671.87599,-456.57174,1024.33049,-480.03629,-445.85237,1021.38126,-840.51538,-409.93628,994.01521,-643.43097,-410.37262,989.29188,-684.92490,-468.76678,857.33410,-402.41571,-585.04292,653.12643,-428.63901,-539.16282,673.39382,-348.85445,-407.15090,723.23757,-437.38544,-316.95433,745.20120,-505.30519,-305.97774,703.43529,-512.31336,-452.29727,848.11846,-921.55357,-569.59479,642.98865,-917.25431,-506.89787,662.68176,-977.86545,-409.09605,722.99512,-864.22140,-316.71806,737.26560,-796.03340,-305.77111,691.67765,-795.40493,-559.84409,508.33784,-548.43447,-546.30877,490.83152,-760.64874,-551.61718,512.74969,-556.58754,-555.88973,509.55562,-721.11996
0.06000000,6.77106869,-2.41286588,-0.54805717,-0.49686536,0.58922811,-0.65187188,84.34531785,-15.40748141,0.58114972,109.21054918,1.90608366,25.14073629,6.82249292,-6.02703962,87.40017463,-17.47768372,9.80074313,110.73031952,1.93260866,22.16553196,20.07033133,-6.02703962,-32.40661816,0.24076023,1.58292297,5.68559700,-9.81905221,17.21493396,125.57063021,93.59640694,10.52026080,-14.76757967,28.12076200,123.61606286,94.98264403,0.06000000,0.01467860,0.01847600,0.03639424,7,0.06000000,-165.87857,513.91955,-365.09502,-113.13455,392.72534,-385.44920,-283.78738,101.79548,-420.64010,-351.73760,68.24569,-472.63772,-156.94656,39.17090,-372.18915,-116.01288,62.88447,-442.78067,-174.51985,502.56292,-942.29371,-113.90875,400.61013,-923.61709,-292.31937,95.49034,-904.11450,-364.93225,69.88970,-855.68939,-155.92653,35.48021,-925.62144,-126.58818,59.95551,-856.70471,-141.91613,286.50807,-417.81109,-177.57294,396.07365,-340.83320,-197.69138,280.84609,-355.64368,-193.04833,420.93689,-966.02512,-205.33471,300.81360,-972.82791,-382.62680,614.01529,-462.25300,-273.37321,616.95696,-441.90577,-260.42578,597.28609,-378.04613,-398.21214,547.45751,-372.31374,-279.16925,547.67672,-357.59476,-413.01145,591.68599,-866.18309,-278.40453,602.02285,-896.98649,-420.31864,499.13523,-928.96763,-284.07178,504.26280,-952.34182,-507.54556,597.41127,-525.17745,-670.74532,609.80699,-603.09236,-480.25389,584.59188,-771.75913,-673.70651,607.96197,-698.78199,-526.86690,1102.75082,-671.54122,-454.68947,1024.57976,-479.77357,-444.49776,1021.45072,-839.95849,-408.01624,993.07226,-642.59946,-408.74034,988.72465,-684.81530,-467.23343,858.12796,-401.60157,-583.82192,654.50834,-426.74964,-537.31144,674.43766,-347.54287,-405.78670,723.88219,-437.05105,-315.93215,745.62363,-505.27921,-304.96407,703.99288,-512.27338,-450.51954,849.88315,-922.15550,-565.35471,643.15970,-921.14591,-502.35664,664.39334,-981.11778,-406.46537,724.18934,-865.53092,-314.98908,738.56422,-796.19846,-303.31730,693.45130,-796.75453,-560.84523,508.95486,-547.09994,-546.85919,489.42981,-759.10741,-551.19465,512.22298,-555.82826,-556.25587,509.06816,-719.68899
0.07000000,6.43224879,-2.98388456,-0.76744509,-0.49712097,0.58871695,-0.65108410,84.39519504,-14.81575842,-0.03942823,109.00853099,1.90255778,25.36533936,6.56374193,-6.10119641,88.08123091,-17.76934220,10.61225579,110.77833460,1.93344668,22.23887303,20.40100201,-6.10119641,-32.30415870,0.72681969,2.15457804,5.97579534,-10.32482013,17.55136753,125.92142418,93.74786778,11.44094350,-15.41967965,28.72512395,123.79626761,95.48915389,0.07000000,0.01454547,0.01839203,0.03494333,8,0.07000000,-166.14416,513.67884,-365.94869,-113.37771,392.70884,-386.04732,-284.08224,101.59049,-420.70521,-351.97340,67.74715,-472.62461,-157.14243,39.37614,-372.12292,-116.20715,63.41336,-442.82052,-174.83664,502.43625,-941.39315,-114.06345,400.80458,-922.56510,-292.36993,95.44083,-904.25266,-365.03894,69.78200,-855.74151,-155.94760,35.56035,-925.55620,-126.66538,60.05764,-856.59406,-142.20771,286.37421,-418.50191,-177.65116,396.02510,-341.35433,-197.89059,280.86304,-356.02794,-193.07583,420.95598,-965.40424,-205.16610,300.87480,-972.48647,-383.09941,614.20253,-462.23146,-273.58874,616.91220,-442.15653,-260.58050,597.14910,-378.20139,-398.39396,547.27164,-372.37857,-279.30352,547.42792,-358.00690,-413.73241,591.33472,-864.51499,-278.82576,602.07602,-896.91542,-420.60374,499.01564,-928.88544,-284.25325,504.23371,-952.10523,-508.22582,597.96828,-524.83597,-671.31602,609.85570,-603.32595,-480.38181,582.34969,-769.72205,-674.59573,607.99491,-698.90052,-525.15305,1102.42223,-671.11029,-452.44016,1024.96891,-479.39189,-442.95333,1021.48980,-839.35632,-405.73951,992.02296,-641.53225,-406.85650,988.20333,-684.53991,-465.21965,859.12770,-400.69443,-582.14481,655.69254,-424.35104,-534.87027,675.71230,-345.78459,-404.05364,724.82645,-436.41277,-314.67589,746.18188,-505.37041,-303.62632,704.78398,-512.16728,-447.98771,851.76754,-922.77169,-560.21370,643.48762,-925.95862,-496.78345,666.46657,-984.93533,-403.12162,725.68095,-867.28380,-312.65203,740.20266,-796.73527,-300.30516,695.76503,-798.73051,-562.30436,509.41827,-545.59521,-547.48710,487.76447,-757.38675,-551.14357,511.69904,-554.94996,-556.72992,508.52644,-717.77965
0.08000000,6.53612950,-2.73295051,-0.69199633,-0.49805133,0.58974820,-0.65138971,84.27049116,-14.88856757,0.22622314,108.86035783,1.89997167,25.44378197,6.36683941,-6.14301951,87.71124686,-17.51652543,10.24160711,110.54961644,1.92945479,22.08328687,19.97118575,-6.14301951,-32.89310590,0.56093139,1.98793380,6.61317070,-10.73934269,18.03986188,126.28335789,93.51119383,12.71083468,-16.41843017,29.39965509,124.30860843,95.32551349,0.08000000,0.01409243,0.01810334,0.03463315,9,0.08000000,-166.60052,513.32155,-366.89757,-113.74574,392.66845,-386.74315,-284.34615,101.50079,-420.69164,-352.22586,67.31439,-472.62298,-157.28403,39.54433,-372.06383,-116.41183,63.86562,-442.92825,-175.33018,502.42751,-940.49666,-114.32581,401.14312,-921.53508,-292.46399,95.40195,-904.21449,-365.12330,69.73092,-855.81293,-155.97948,35.67576,-925.51197,-126.74126,60.18173,-856.54246,-142.54173,286.22761,-419.11220,-177.79531,395.99680,-341.88480,-198.05624,280.70962,-356.52636,-193.30767,421.04011,-964.80689,-205.19045,301.07404,-972.21979,-383.62580,614.31403,-461.97045,-273.98452,616.83796,-442.36959,-260.92481,596.97255,-378.41916,-398.68485,546.98502,-372.40611,-279.57962,547.19062,-358.36482,-414.43115,592.01692,-865.52395,-279.26317,602.18524,-896.79110,-421.07595,499.05863,-928.79721,-284.61778,504.33855,-951.91246,-509.05001,598.37253,-524.05091,-672.04951,609.84904,-603.56728,-481.86977,584.35237,-771.20522,-675.77086,607.55965,-699.11308,-523.11599,1102.03375,-670.59736,-449.77743,1025.38121,-479.04924,-441.28418,1021.69527,-838.77802,-403.32834,991.15257,-640.65173,-404.98890,987.56023,-684.41042,-462.57836,860.29153,-399.84966,-579.73596,656.66677,-421.62039,-531.72447,677.11209,-343.69556,-401.76849,726.08897,-435.42811,-313.00145,747.09951,-505.47436,-302.09963,705.73301,-512.21769,-444.59104,853.78924,-923.63248,-554.14493,644.25866,-931.96566,-490.17801,669.04746,-989.50702,-398.99423,727.52367,-869.63103,-309.05973,742.39628,-798.00177,-296.86067,698.04223,-800.20794,-562.45113,509.62081,-546.34190,-547.88947,489.04240,-758.24843,-551.82844,512.71031,-553.97425,-558.23393,508.76383,-718.14826
0.09000000,7.03990335,-1.85789372,-0.24040139,-0.49953536,0.59208194,-0.65297475,83.91897285,-15.71427916,1.19289214,108.78853043,1.89871804,25.90520085,7.16062743,-6.26820322,86.47092642,-16.61758169,9.02440547,110.09001454,1.92143323,21.96285537,19.16401589,-6.26820322,-34.05531397,-0.00817241,1.52943749,7.22473781,-11.13962204,18.00119781,126.72872389,95.12678217,14.76739376,-17.51801109,30.41731117,124.30537320,96.94950558,0.09000000,0.01337187,0.01763445,0.03460344,10,0.09000000,-167.17629,513.10697,-367.61716,-114.21600,392.70068,-387.46741,-284.62660,101.47711,-420.56494,-352.48489,67.00789,-472.51544,-157.40083,39.64647,-371.99728,-116.67096,64.27917,-442.94130,-176.07329,502.57638,-939.54418,-114.79831,401.54483,-920.80002,-292.59522,95.36473,-904.06140,-365.22083,69.67925,-855.85493,-156.00677,35.77748,-925.43107,-126.82789,60.33735,-856.52253,-142.93558,286.22038,-419.67589,-178.08247,395.97062,-342.44501,-198.30397,280.61417,-356.89832,-193.78116,421.32213,-964.46681,-205.45895,301.35937,-971.87474,-384.33149,614.22132,-461.86028,-274.51686,616.85948,-442.53373,-261.47008,596.77271,-378.84260,-399.10481,546.76063,-372.40522,-279.97404,547.04713,-358.69393,-415.12358,593.46488,-868.76408,-279.85892,602.32301,-896.58371,-421.65340,499.16282,-928.82044,-285.13829,504.49962,-951.69850,-509.90492,598.23011,-523.62761,-672.92870,609.78563,-603.71532,-484.52253,589.65469,-775.73391,-677.14984,607.05452,-698.82968,-520.72261,1101.59384,-670.01488,-446.70258,1025.70118,-478.86510,-439.46189,1022.06900,-838.07490,-400.84874,990.45183,-640.11001,-403.02907,986.80780,-684.21464,-459.18362,861.54336,-398.96754,-576.42586,657.75624,-418.59659,-527.78732,678.53172,-341.28331,-398.85025,727.52947,-434.21285,-310.87400,748.36244,-505.46564,-300.25013,706.88706,-512.39373,-440.58914,855.97429,-924.78875,-547.04674,645.35548,-938.79347,-482.54436,672.37946,-995.18204,-394.04350,729.70120,-872.52121,-304.38286,745.01635,-799.79153,-292.86460,700.29446,-801.32872,-561.50779,509.36412,-549.18313,-548.62461,492.73960,-761.49629,-553.18189,514.57621,-553.81053,-560.60673,509.78258,-720.93948
