time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,total_squared_error,marker_error_RMS,marker_error_max
0.00000000,23.46919714,-1.21381898,0.18469224,-0.51335873,0.57905593,-0.61246658,64.71332438,-5.73717532,3.59899789,102.53050288,1.78949486,15.02741550,-7.07915174,-4.31321733,64.53071401,-0.46454403,6.39332195,103.62068648,1.80852215,12.00668067,-14.82428044,-4.31321733,-41.41822203,1.97242777,-2.38681898,0.69361676,-12.91492431,11.42912873,136.30746856,105.49551411,-0.01775168,-10.66039612,11.25246567,134.88259422,93.38277211,1,0.00000000,-151.24240,470.99493,-402.12223,-94.00250,427.10481,-407.26212,-249.30802,98.18394,-430.58169,-310.97879,59.10447,-479.30441,-131.30103,40.99455,-389.43512,-89.45988,60.68159,-444.27536,-145.32327,468.57488,-782.47463,-113.03508,393.81777,-789.97422,-246.94905,99.93857,-762.42914,-310.19291,59.18781,-713.15824,-133.61163,42.71269,-799.17444,-88.02003,59.95368,-746.21197,-119.98384,314.96078,-423.60654,-163.70382,436.66171,-375.79154,-187.93944,323.66824,-372.31829,-196.56808,423.47393,-799.98182,-227.91984,303.63125,-797.34958,-420.01357,566.99698,-508.63552,-313.08532,576.01129,-479.32895,-302.81007,559.84451,-415.78334,-440.70101,521.72755,-408.46992,-327.22640,517.22644,-387.45362,-448.96315,547.31183,-781.47395,-309.44178,524.82696,-800.99609,-467.66219,437.34070,-801.78131,-332.83550,411.64814,-782.64879,-500.56672,595.31442,-485.09207,-685.63874,543.06048,-567.40824,-489.29696,584.46465,-721.70391,-682.26514,544.56203,-665.39822,-596.27974,1035.01458,-611.21908,-536.83290,995.28430,-447.48801,-528.33566,996.55162,-760.61097,-493.99794,926.72863,-587.21394,-490.72950,925.42751,-621.70122,-569.58855,767.97451,-358.70131,-639.10188,667.55835,-388.83785,-596.40330,681.09432,-332.35311,-476.55135,724.96662,-385.23923,-413.22867,781.18596,-440.00298,-392.55052,741.40965,-432.45018,-558.77985,780.23696,-861.87529,-609.69478,662.54223,-822.35959,-579.73477,674.35610,-887.10021,-452.49239,718.29133,-825.03801,-385.71555,775.66382,-765.89960,-368.81199,734.30181,-763.40228,-533.04639,488.79087,-519.89607,-538.62413,486.28048,-710.46933,-529.89892,494.17133,-520.45546,-524.51460,496.56781,-676.84922,0.00000000,0.01074400,0.01580698,0.02999854
0.01000000,23.58688531,-1.21444933,0.14295531,-0.51340060,0.57937755,-0.61242783,64.52619023,-5.66945834,3.62975387,102.49288900,1.78883837,15.42999837,-7.10416053,-4.81077783,64.34484912,-0.51407970,6.39407837,103.60999891,1.80833562,12.54282000,-14.41506192,-4.81077783,-41.61937219,1.95405459,-2.38937605,0.71942897,-13.16458601,12.09096385,136.53264239,101.70132851,-0.05001206,-10.84326029,11.73445846,135.30323878,91.04118583,2,0.01000000,-151.21873,471.03517,-402.40628,-94.01504,427.08724,-407.32920,-249.30919,98.16303,-430.59578,-310.97891,59.10129,-479.32222,-131.26980,41.01310,-389.46389,-89.47059,60.65557,-444.26996,-145.34221,468.59485,-782.45167,-113.02694,393.82695,-789.94212,-246.95016,99.92980,-762.42730,-310.15509,59.18598,-713.23839,-133.61352,42.69072,-799.17945,-88.01932,59.92313,-746.20859,-120.07926,315.03124,-423.52946,-163.80501,436.67966,-375.87040,-187.98109,323.65257,-372.41812,-196.58919,423.45886,-799.92167,-227.81652,303.66220,-797.51781,-420.08397,566.93681,-508.63097,-313.18383,576.00930,-479.40073,-302.83140,559.89151,-415.88735,-440.68992,521.78463,-408.40129,-327.26426,517.21669,-387.49285,-449.00381,547.31668,-781.46865,-309.44576,524.80998,-800.93944,-467.67860,437.34017,-801.80573,-332.84805,411.64635,-782.64708,-500.57270,595.31323,-485.13045,-685.66933,543.11560,-567.50388,-489.30139,584.45435,-721.72706,-682.29060,544.67403,-665.41719,-596.00822,1035.01810,-611.08819,-536.55936,995.29996,-447.52432,-528.06839,996.60687,-760.57967,-493.78284,926.78016,-587.15323,-490.43097,925.48500,-621.51607,-569.44430,767.96042,-358.68966,-638.96301,667.71754,-388.68101,-596.24609,681.18612,-332.17124,-476.25352,725.19089,-385.05344,-413.04945,781.07943,-439.93434,-392.42312,741.33027,-432.52701,-558.70439,780.27247,-861.84373,-609.54487,662.65718,-822.24022,-579.66234,674.39344,-887.03637,-452.37253,718.31147,-824.99482,-385.52591,775.62435,-765.81859,-368.67226,734.35663,-763.48057,-533.10717,488.79579,-519.94193,-538.67093,486.30343,-710.51583,-529.91999,494.12317,-520.55092,-524.52350,496.61216,-676.93303,0.01000000,0.01073959,0.01580373,0.02983032
0.02000000,23.37468654,-1.12296477,0.08028457,-0.51321318,0.57906339,-0.61237636,64.83243277,-5.65817397,3.72431507,102.52153878,1.78933841,15.10770564,-7.70587462,-4.92658321,64.55983893,-0.48385261,6.25091786,103.57923836,1.80779875,12.39980478,-15.19035551,-4.92658321,-41.37921212,1.85328876,-2.35342881,0.54704974,-13.08024458,11.94644535,136.80274464,98.11143691,-0.14630149,-10.71486586,11.52264318,135.46126249,88.31899441,3,0.02000000,-151.22480,471.00792,-402.52282,-94.07778,427.13826,-407.41246,-249.32825,98.12968,-430.59552,-310.97908,59.10244,-479.33238,-131.24875,40.96027,-389.47511,-89.47482,60.63542,-444.27598,-145.39909,468.58960,-782.39307,-113.04226,393.85089,-789.91075,-246.94931,99.92550,-762.42781,-310.14604,59.16932,-713.26626,-133.61700,42.68035,-799.17716,-88.01416,59.90279,-746.21220,-120.14584,315.09284,-423.44530,-163.85403,436.68882,-375.95542,-188.01781,323.64463,-372.49810,-196.60602,423.44658,-799.83686,-227.78263,303.68956,-797.50582,-420.16865,566.94381,-508.54772,-313.26651,576.00567,-479.51346,-302.89175,559.89476,-415.94769,-440.70474,521.76809,-408.47354,-327.31898,517.21483,-387.53177,-449.03434,547.31127,-781.48304,-309.44362,524.78692,-800.85608,-467.70059,437.34674,-801.82635,-332.86891,411.65506,-782.62789,-500.59075,595.25865,-485.19172,-685.69240,543.19346,-567.56940,-489.29674,584.44548,-721.73162,-682.28531,544.78471,-665.34777,-595.72534,1035.02545,-610.98414,-536.26771,995.30170,-447.51227,-527.79143,996.67180,-760.57400,-493.48371,926.85649,-587.02061,-490.13059,925.53056,-621.40852,-569.23893,768.00806,-358.60419,-638.77420,667.85577,-388.64125,-596.11176,681.25367,-332.05619,-476.00371,725.25045,-384.89409,-412.85534,780.99653,-439.88486,-392.21480,741.28459,-432.51945,-558.59950,780.31628,-861.81378,-609.40209,662.80354,-822.16633,-579.57510,674.44289,-886.92106,-452.24240,718.28327,-824.84390,-385.39118,775.58981,-765.75772,-368.55656,734.33673,-763.44006,-533.15958,488.77599,-519.97382,-538.73168,486.32217,-710.54799,-530.00416,494.09857,-520.64997,-524.55636,496.64284,-676.99139,0.02000000,0.01082636,0.01586745,0.02980010
0.03000000,23.47371622,-1.17605389,0.14729088,-0.51338328,0.57934392,-0.61242037,64.65019312,-5.68340023,3.67674295,102.48007847,1.78861479,15.45930948,-7.00159612,-5.61648487,64.44946065,-0.45713472,6.37066961,103.54783554,1.80725066,12.32343422,-14.65940173,-5.61648487,-41.58667168,1.93699035,-2.49144055,0.81912734,-13.16473647,11.92460190,136.09409423,106.18293044,-0.10947814,-10.82452104,11.33386105,134.74165457,96.45702491,4,0.03000000,-151.26374,471.01349,-402.53254,-94.15688,427.23466,-407.52407,-249.33945,98.09548,-430.59311,-310.98095,59.09488,-479.32768,-131.25312,40.91196,-389.46601,-89.47582,60.62464,-444.29021,-145.48258,468.57554,-782.32703,-113.08896,393.91558,-789.88389,-246.94602,99.93062,-762.42656,-310.15900,59.14648,-713.25475,-133.62357,42.67688,-799.17268,-88.00325,59.89358,-746.22539,-120.20874,315.11985,-423.41764,-163.89670,436.64179,-376.08103,-187.77868,323.32399,-372.94862,-196.62719,423.43843,-799.76210,-227.79561,303.70429,-797.41116,-420.28184,566.93417,-508.51989,-313.35659,575.97105,-479.63056,-302.95179,559.88160,-416.00918,-440.65759,521.57687,-408.79864,-327.38413,517.21808,-387.58952,-449.07258,547.31614,-781.49779,-309.44216,524.76624,-800.75142,-467.73742,437.34469,-801.81795,-332.91160,411.70894,-782.64579,-500.62982,595.22100,-485.20940,-685.69487,543.28501,-567.54540,-489.29009,584.43378,-721.72527,-682.28378,544.91272,-665.26141,-595.41189,1035.05331,-610.91070,-535.89709,995.32395,-447.41064,-527.49018,996.73097,-760.53678,-493.13124,926.92957,-586.89553,-489.84332,925.57803,-621.32630,-568.97609,768.07427,-358.46514,-638.56415,667.89920,-388.66911,-595.98068,681.29439,-331.98634,-475.78571,725.24947,-384.75792,-412.64205,780.90905,-439.86913,-391.95962,741.17624,-432.47710,-558.44084,780.37264,-861.76453,-609.26555,662.93247,-822.12485,-579.47292,674.52283,-886.82057,-452.10955,718.26052,-824.67257,-385.27621,775.56271,-765.66315,-368.44997,734.27916,-763.32132,-533.21065,488.77330,-519.96163,-538.79864,486.34333,-710.53564,-530.05692,494.06641,-520.70277,-524.59990,496.67035,-677.02770,0.03000000,0.01068333,0.01576229,0.02994822
0.04000000,23.40909757,-1.13441397,0.15526041,-0.51336731,0.57932481,-0.61246270,64.71969590,-5.70513194,3.72927072,102.48394480,1.78868227,15.64665941,-6.80212598,-6.22279678,64.51130434,-0.38629973,6.30877116,103.49697727,1.80636302,11.69855119,-15.55844264,-6.22279678,-41.57063140,1.91729611,-2.58697791,0.89652316,-13.13584579,12.10828385,136.21230899,103.67365073,-0.17716951,-10.80106058,11.47569456,135.05946315,94.13749295,5,0.04000000,-151.37021,471.07358,-402.58466,-94.20793,427.29482,-407.67681,-249.32479,98.09652,-430.60138,-310.98501,59.07412,-479.31069,-131.27325,40.93520,-389.45049,-89.47392,60.62416,-444.30021,-145.55564,468.58422,-782.28437,-113.16798,394.01070,-789.84800,-246.94016,99.94072,-762.42197,-310.18302,59.12842,-713.23099,-133.62804,42.67474,-799.16839,-87.99214,59.89367,-746.24193,-120.28977,315.15248,-423.49243,-163.98088,436.58436,-376.17596,-187.23853,322.66594,-373.80610,-196.65904,423.45031,-799.72648,-227.83200,303.68565,-797.32372,-420.44023,566.83663,-508.58617,-313.46557,575.94006,-479.72396,-303.00446,559.85388,-416.12214,-440.60521,521.41103,-408.98838,-327.43786,517.22356,-387.64635,-449.13157,547.33289,-781.50736,-309.45235,524.75064,-800.64167,-467.79262,437.34010,-801.80749,-332.97930,411.79829,-782.72184,-500.65209,595.30835,-485.05841,-685.66933,543.41865,-567.49938,-489.29123,584.42238,-721.73504,-682.24402,545.04091,-665.26846,-595.05288,1035.12158,-610.86635,-535.45258,995.36732,-447.31052,-527.14648,996.76360,-760.42396,-492.76771,926.96973,-586.86519,-489.53042,925.63444,-621.22026,-568.72377,768.09356,-358.37743,-638.36288,667.88837,-388.65382,-595.80184,681.34971,-331.89075,-475.56506,725.28594,-384.62084,-412.39725,780.81862,-439.85083,-391.71288,740.99823,-432.42049,-558.24097,780.43725,-861.65512,-609.12894,663.04013,-822.06530,-579.36061,674.62736,-886.74820,-451.97375,718.29373,-824.59696,-385.13413,775.53680,-765.48818,-368.32768,734.23905,-763.19414,-533.25490,488.85852,-519.88173,-538.80110,486.37686,-710.45625,-530.07231,494.07151,-520.57609,-524.59155,496.66699,-677.00977,0.04000000,0.01073360,0.01579933,0.02997315
0.05000000,23.36257231,-1.14705724,0.13018392,-0.51335143,0.57936808,-0.61238471,64.75928100,-5.64703299,3.73678252,102.45888626,1.78824491,15.54141212,-6.86030084,-6.25513642,64.55985295,-0.42679089,6.31127961,103.49938879,1.80640511,11.75499897,-15.42201136,-6.25513642,-41.58012896,1.91993968,-2.54435682,0.91466921,-13.13751499,12.08131683,136.27201829,103.30370381,-0.16252122,-10.76760410,11.44386580,135.07988170,93.87681617,6,0.05000000,-151.54094,471.06655,-402.75649,-94.26544,427.29769,-407.86302,-249.29905,98.14081,-430.61790,-310.99028,59.06005,-479.29779,-131.27409,40.96816,-389.44610,-89.46770,60.62679,-444.30346,-145.61134,468.62194,-782.21424,-113.27993,394.08746,-789.77262,-246.93328,99.95191,-762.41744,-310.20974,59.11611,-713.20493,-133.62557,42.67851,-799.16034,-87.98747,59.89781,-746.24488,-120.37389,315.22544,-423.63054,-164.08429,436.66270,-376.12922,-186.96725,322.33179,-374.31811,-196.70740,423.49212,-799.71797,-227.88800,303.64051,-797.20878,-420.61448,566.73734,-508.60740,-313.58145,575.98052,-479.83438,-303.09395,559.79952,-416.26007,-440.71775,521.53473,-408.68331,-327.46927,517.24123,-387.68396,-449.19578,547.34292,-781.53575,-309.49496,524.74789,-800.56890,-467.85777,437.37644,-801.87962,-333.05805,411.84991,-782.73598,-500.65236,595.45827,-484.77106,-685.64707,543.61596,-567.54686,-489.30001,584.40720,-721.74431,-682.15485,545.14963,-665.31262,-594.64927,1035.22130,-610.81648,-535.02918,995.37438,-447.33614,-526.74263,996.79111,-760.25187,-492.36803,927.00171,-586.88947,-489.11750,925.65134,-621.14797,-568.48438,768.10815,-358.33387,-638.14321,667.94946,-388.56420,-595.55516,681.45462,-331.74668,-475.34649,725.28192,-384.49328,-412.10246,780.75460,-439.77113,-391.49430,740.86873,-432.33647,-558.02371,780.51260,-861.48653,-609.00057,663.20351,-821.96687,-579.22563,674.76511,-886.63629,-451.81885,718.34766,-824.56013,-384.94314,775.50524,-765.26542,-368.18408,734.21423,-763.05488,-533.31638,488.99216,-519.76048,-538.74982,486.41261,-710.33694,-530.15784,494.14986,-520.27615,-524.56272,496.60674,-676.90826,0.05000000,0.01074488,0.01580762,0.02999226
0.06000000,23.25571166,-1.17259471,0.11523869,-0.51326779,0.57929160,-0.61232421,64.88658531,-5.60067509,3.72592088,102.45529494,1.78818223,15.33008742,-6.92882126,-6.36232489,64.68138555,-0.45347507,6.35913807,103.52142726,1.80678975,11.92423645,-14.98245907,-6.36232489,-41.53360514,1.94925871,-2.50085929,0.81829077,-13.10690804,11.99679881,136.44368463,101.80342174,-0.23290005,-10.68213962,11.36925649,135.23038298,92.77341287,7,0.06000000,-151.67486,470.99940,-403.04246,-94.37683,427.30659,-408.04084,-249.27098,98.18381,-430.64071,-310.99529,59.06155,-479.30086,-131.25437,40.95754,-389.45555,-89.46386,60.62520,-444.30095,-145.67386,468.68520,-782.07681,-113.40085,394.11215,-789.61863,-246.93183,99.96821,-762.41008,-310.22423,59.10826,-713.18508,-133.61914,42.69386,-799.14621,-87.98771,59.89902,-746.22557,-120.44178,315.28183,-423.81853,-164.21778,436.88993,-376.06384,-187.40765,322.80185,-373.99372,-196.78265,423.52383,-799.67518,-227.92274,303.60742,-797.11507,-420.76915,566.73112,-508.54727,-313.70402,576.06503,-479.98033,-303.21129,559.77377,-416.38283,-440.93158,521.76195,-408.30899,-327.48878,517.26325,-387.75502,-449.26257,547.33742,-781.56647,-309.58329,524.77846,-800.57694,-467.94029,437.42844,-801.98948,-333.13538,411.82418,-782.56641,-500.67448,595.50785,-484.56755,-685.64402,543.82946,-567.59420,-489.30967,584.36718,-721.69215,-682.13790,545.28949,-665.24814,-594.20751,1035.30832,-610.68327,-534.62653,995.34527,-447.38991,-526.28889,996.86810,-760.07100,-491.91984,927.08351,-586.85551,-488.62241,925.62984,-621.13940,-568.17122,768.19024,-358.18735,-637.89008,668.06518,-388.46514,-595.26150,681.59000,-331.59505,-475.12578,725.20391,-384.42226,-411.76107,780.68670,-439.68605,-391.33407,740.74640,-432.33790,-557.76794,780.62011,-861.32113,-608.86818,663.43844,-821.83063,-579.04313,674.98286,-886.51695,-451.63149,718.40055,-824.47927,-384.68528,775.48833,-765.08756,-368.00187,734.20036,-762.90310,-533.42392,489.06042,-519.64666,-538.78182,486.43020,-710.22462,-530.26729,494.20864,-520.03556,-524.64002,496.55198,-676.77140,0.06000000,0.01074691,0.01580911,0.03003495
0.07000000,23.20094870,-1.18692021,0.11589450,-0.51331831,0.57933154,-0.61221796,64.93495103,-5.54333516,3.73046969,102.43696152,1.78786225,15.22833326,-7.03445185,-6.41201534,64.73626771,-0.46663229,6.38026068,103.50303304,1.80646871,11.95148473,-14.92521791,-6.41201534,-41.55229017,1.95997191,-2.44619593,0.86198895,-13.09855711,12.00633905,136.47238478,101.27853933,-0.14839681,-10.66705799,11.39131147,135.28147457,92.23607333,8,0.07000000,-151.76314,470.99175,-403.36452,-94.50437,427.37589,-408.17677,-249.24131,98.19850,-430.65805,-310.99980,59.06554,-479.30983,-131.25119,40.94088,-389.46547,-89.46516,60.62903,-444.28830,-145.76031,468.75876,-781.91905,-113.49133,394.10306,-789.39570,-246.93840,99.98673,-762.39655,-310.22306,59.10314,-713.18903,-133.61266,42.71872,-799.12583,-87.98648,59.89994,-746.19905,-120.48931,315.28287,-424.08193,-164.44706,437.08412,-376.22882,-188.10679,323.56567,-373.43759,-196.87431,423.49750,-799.52266,-227.90740,303.60794,-797.12286,-420.93949,566.78253,-508.47025,-313.83662,576.10679,-480.11385,-303.32816,559.79421,-416.49267,-441.08048,521.81542,-408.27146,-327.52138,517.27064,-387.87845,-449.35371,547.31262,-781.54127,-309.68951,524.83223,-800.63058,-468.06730,437.38578,-801.95412,-333.21516,411.76378,-782.29790,-500.69805,595.44491,-484.56400,-685.60320,544.02102,-567.48559,-489.30898,584.30637,-721.58772,-682.21674,545.53319,-665.06338,-593.69926,1035.37050,-610.45037,-534.10648,995.38470,-447.25114,-525.79392,997.02693,-759.94359,-491.44076,927.24753,-586.71403,-488.12366,925.66929,-621.10428,-567.76856,768.31942,-357.94198,-637.60850,668.14219,-388.43295,-594.94964,681.71241,-331.46399,-474.85386,725.10231,-384.42903,-411.39190,780.58476,-439.70326,-391.16362,740.48496,-432.47742,-557.43833,780.78131,-861.19208,-608.69873,663.66883,-821.67019,-578.81732,675.27037,-886.45876,-451.39642,718.48507,-824.39338,-384.36767,775.50432,-765.01318,-367.74276,734.20493,-762.75264,-533.52410,489.05392,-519.56675,-538.93527,486.44552,-710.14349,-530.24766,494.16091,-520.02606,-524.80986,496.58861,-676.70149,0.07000000,0.01072976,0.01579649,0.03012939
0.08000000,23.13077075,-1.18304852,0.10581735,-0.51337156,0.57936834,-0.61214395,65.00970459,-5.50266011,3.74739307,102.41205242,1.78742751,15.16360224,-7.07506558,-6.43538453,64.79576450,-0.46091307,6.38088288,103.46739852,1.80584677,11.93218531,-14.91417566,-6.43538453,-41.57430185,1.98122981,-2.40378304,0.92588996,-13.09183196,12.04105909,136.50876912,101.04910546,-0.04774922,-10.66911260,11.42353756,135.30708080,91.96683443,9,0.08000000,-151.92592,471.05891,-403.63757,-94.59619,427.48314,-408.29975,-249.21617,98.19792,-430.65809,-311.00480,59.07238,-479.31219,-131.26457,40.94332,-389.46625,-89.46330,60.64806,-444.27423,-145.86931,468.77991,-781.73194,-113.55809,394.12267,-789.21396,-246.94390,100.00222,-762.38568,-310.21528,59.09990,-713.22869,-133.61011,42.74605,-799.10681,-87.98455,59.90828,-746.18016,-120.52194,315.27375,-424.38333,-164.73388,437.12127,-376.59810,-188.36659,323.85618,-373.44187,-196.95990,423.44836,-799.29598,-227.90161,303.60988,-797.13955,-421.16469,566.82729,-508.38284,-313.97705,576.08589,-480.22094,-303.45246,559.80849,-416.61175,-441.20195,521.81582,-408.25911,-327.58659,517.28753,-387.97069,-449.46271,547.28263,-781.47142,-309.78712,524.86407,-800.65945,-468.22635,437.24339,-801.76727,-333.30591,411.73090,-782.12557,-500.68337,595.35981,-484.63896,-685.51429,544.20611,-567.32586,-489.28631,584.25879,-721.51507,-682.31883,545.88205,-664.87709,-593.07398,1035.46584,-610.21692,-533.42043,995.54592,-446.95116,-525.21778,997.25228,-759.85141,-490.89400,927.46379,-586.53835,-487.60073,925.79208,-620.96319,-567.33649,768.44502,-357.77140,-637.24951,668.18942,-388.43826,-594.64650,681.79533,-331.32600,-474.50420,725.00202,-384.46980,-410.99483,780.49141,-439.72735,-390.78818,740.14022,-432.56349,-557.03688,781.00869,-861.06987,-608.51894,663.83947,-821.53762,-578.57448,675.55711,-886.40843,-451.09440,718.59325,-824.30802,-384.00545,775.51904,-764.96500,-367.40738,734.20886,-762.57955,-533.59440,489.03215,-519.53964,-539.12158,486.49605,-710.11401,-530.09303,494.01288,-520.16922,-524.96351,496.70287,-676.75246,0.08000000,0.01074359,0.01580667,0.03022322
0.09000000,23.03850856,-1.16677936,0.07321405,-0.51348038,0.57945969,-0.61206575,65.08240246,-5.40244543,3.85296422,102.33288276,1.78604574,15.02203595,-7.06100125,-6.46181844,64.84883435,-0.38521077,6.48076094,103.40297228,1.80472232,11.84705757,-14.83347747,-6.46181844,-41.57120486,1.96421690,-2.37093980,1.01567881,-13.04927626,11.99876241,136.46516522,100.71290432,0.05680183,-10.63129004,11.39592432,135.22710871,91.59965852,10,0.09000000,-152.14800,471.14265,-403.84333,-94.69515,427.55634,-408.48149,-249.18676,98.16048,-430.68365,-311.00933,59.08822,-479.31052,-131.26018,40.93966,-389.46359,-89.45481,60.67067,-444.27165,-145.99367,468.70319,-781.43979,-113.64707,394.19027,-789.12481,-246.94374,100.02110,-762.38384,-310.21163,59.09889,-713.27359,-133.61445,42.77358,-799.09620,-87.98953,59.92512,-746.16150,-120.54559,315.30747,-424.69321,-164.94134,437.06636,-376.93913,-188.30012,323.72229,-373.87798,-197.05251,423.44571,-799.08194,-228.01505,303.54652,-796.97688,-421.43718,566.87536,-508.28348,-314.13882,576.06336,-480.35602,-303.57889,559.83008,-416.76545,-441.35921,521.92238,-408.03746,-327.68403,517.33434,-388.00903,-449.56293,547.26617,-781.44611,-309.89034,524.85378,-800.63886,-468.36638,437.14826,-801.64383,-333.40657,411.75498,-782.07754,-500.64228,595.27734,-484.63064,-685.47255,544.43251,-567.33419,-489.24180,584.23905,-721.49552,-682.45278,546.24615,-664.79423,-592.34467,1035.62587,-610.05146,-532.66270,995.71630,-446.74146,-524.54840,997.49753,-759.72796,-490.21599,927.67220,-586.38590,-486.96443,925.92966,-620.76934,-566.87305,768.55614,-357.68567,-636.81021,668.24827,-388.37948,-594.33881,681.85355,-331.17101,-474.08715,724.95153,-384.44452,-410.54750,780.42547,-439.59315,-390.19702,739.88738,-432.48000,-556.58048,781.30314,-860.93750,-608.33984,664.00502,-821.43624,-578.29336,675.83470,-886.31269,-450.71657,718.67687,-824.13170,-383.58815,775.50853,-764.82783,-367.03388,734.17874,-762.36048,-533.71829,489.00866,-519.56522,-539.29013,486.57816,-710.13968,-529.97391,493.87041,-520.23635,-525.12247,496.78440,-676.81535,0.09000000,0.01081238,0.01585720,0.03053323
