Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,total_squared_error,marker_error_RMS,marker_error_max,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
40,0.39000000,-261.02217,456.48289,-419.79118,-231.21036,392.66541,-393.39797,-268.80602,95.32115,-429.96397,-336.91581,57.97664,-465.94602,-164.68073,46.34782,-407.37972,-124.38077,68.28384,-462.92430,-260.43176,455.31702,-798.73991,-212.51572,395.58795,-804.52236,-265.02297,96.08656,-787.52745,-338.11486,59.10597,-740.33178,-172.98403,44.60328,-807.89157,-126.25782,68.36270,-751.93129,-236.82505,281.59605,-390.04994,-304.81796,394.48525,-407.40205,-317.75248,278.97785,-406.93269,-299.60550,405.48444,-824.41381,-299.57205,283.21726,-826.07528,-546.44320,571.64965,-481.17816,-437.86502,562.94573,-453.26884,-427.91174,523.58359,-402.45744,-569.69187,488.02917,-407.05616,-453.76270,472.53169,-395.26279,-532.00122,558.03175,-786.99504,-394.38441,549.27330,-787.56866,-543.72002,446.47906,-820.04949,-401.24078,446.15510,-820.83704,-592.01503,590.67584,-491.68665,-773.26691,554.35152,-565.75369,-593.77338,594.64395,-749.03894,-775.01035,548.35251,-673.93063,-608.39932,1020.44573,-598.18551,-556.16933,958.26478,-448.84385,-555.61731,964.68320,-765.71658,-508.26890,914.87969,-585.43439,-509.13744,915.36393,-629.25764,-593.21153,735.90468,-348.35690,-630.27842,624.74603,-398.67071,-621.36211,658.78068,-324.56890,-509.55916,678.77738,-335.38539,-399.78914,695.93954,-360.53310,-393.50114,650.99521,-359.58247,-562.58547,835.50931,-825.43478,-652.29605,630.23910,-795.22963,-658.72467,648.70808,-865.53429,-547.58632,665.87616,-878.06063,-430.77377,677.90374,-860.62941,-424.02408,641.30043,-863.05252,-632.35118,499.61679,-521.27318,-630.88803,505.21646,-721.47770,-629.56109,501.61619,-522.33769,-632.29493,492.21229,-691.93114,0.39000000,0.01169170,0.01648939,0.03056328,0.39000000,21.96032754,2.71897171,2.47873952,-0.60127253,0.59028316,-0.61829045,62.85854555,-10.11083829,5.11441676,88.67244557,1.54762613,9.47223842,1.83325632,-6.94446517,61.99374687,-1.23782120,-0.37404826,86.89233300,1.51655731,2.99814243,-5.78272655,-6.94446517,-49.70777920,0.04457256,-2.58597899,11.18262372,-10.86441103,-12.26967726,116.24986125,89.80478430,7.13167352,-4.33466289,-14.29504188,115.01104962,91.05854057
41,0.40000000,-261.11735,456.56062,-419.43920,-231.31145,392.57264,-393.13160,-268.92906,95.30669,-429.83336,-336.97232,57.88957,-465.88773,-164.80776,46.38945,-407.34602,-124.41725,68.38004,-462.93077,-260.38744,455.22661,-798.80236,-212.47486,395.53671,-804.58642,-265.15324,95.98656,-787.43891,-338.21376,58.92064,-740.34185,-173.03402,44.70724,-807.91835,-126.42570,68.52965,-751.92058,-236.95899,281.64001,-390.00319,-305.08974,394.41479,-407.27157,-317.99954,278.97043,-406.82526,-299.56363,405.43622,-824.50334,-299.59237,283.16987,-826.10585,-545.94534,572.51122,-482.12082,-437.59633,563.17316,-453.24712,-427.82819,523.80742,-402.30851,-569.64178,488.69410,-406.84053,-453.78652,472.77737,-395.14647,-531.82150,558.14527,-787.10610,-394.14406,549.17853,-787.51462,-543.61009,446.57403,-820.22494,-401.15541,446.01775,-820.81178,-590.68726,590.53194,-491.61456,-772.40814,556.57222,-565.82388,-591.79412,593.13509,-748.54241,-773.90612,550.04934,-673.78233,-597.82211,1019.48053,-598.37681,-546.62846,956.20900,-448.93345,-545.86155,962.88676,-765.53815,-499.78312,911.98229,-585.36250,-500.64102,912.52528,-629.07514,-585.73266,735.19257,-347.22291,-623.36723,623.97809,-396.71006,-614.13062,658.44556,-322.65764,-502.50380,677.51698,-333.75001,-392.51155,693.83233,-359.78287,-386.50278,648.85761,-358.76445,-554.63927,834.22019,-825.54842,-647.88503,629.83257,-797.37165,-653.08612,648.97245,-867.35593,-541.68133,664.96501,-879.13566,-424.94996,675.55240,-860.86785,-418.59846,638.87802,-862.81338,-632.39960,499.92354,-520.59897,-630.35346,504.43446,-720.83262,-629.64065,501.98657,-521.84537,-631.98904,491.75977,-691.10328,0.40000000,0.01176651,0.01654206,0.03057684,0.40000000,20.66909686,2.19726870,2.48714849,-0.59933873,0.58914051,-0.61814068,64.08173202,-9.69357113,4.78007634,88.60344035,1.54642176,9.55611930,1.94171111,-6.94954526,63.52110667,-1.61881653,0.04157050,87.17066919,1.52141519,3.19234659,-5.66193494,-6.94954526,-49.59468344,0.46394893,-2.24311638,11.92523070,-11.41722279,-11.92731914,116.54028710,89.85124746,7.35478301,-4.75090070,-13.70517576,115.47106651,91.11150576
42,0.41000000,-261.12358,456.65189,-419.42208,-231.37897,392.39757,-393.01652,-269.01330,95.34337,-429.69109,-337.02330,57.77573,-465.79415,-164.92376,46.40834,-407.33654,-124.49112,68.44364,-462.95733,-260.32883,455.11428,-798.88429,-212.45464,395.45841,-804.64752,-265.26365,95.93327,-787.44918,-338.27144,58.78187,-740.34312,-173.08439,44.79580,-807.92405,-126.57492,68.70748,-751.92101,-236.97793,281.66589,-389.96206,-305.13614,394.41600,-407.06991,-318.15575,279.02166,-406.74369,-299.54972,405.38361,-824.61751,-299.63341,283.14091,-826.13719,-545.37547,573.07771,-482.28907,-437.43817,563.12864,-452.85707,-427.71744,524.03311,-402.06385,-569.59133,489.35361,-406.61567,-453.79012,472.92434,-395.04691,-531.54621,558.18892,-787.23248,-393.87513,549.03994,-787.57393,-543.50381,446.65849,-820.35801,-401.01976,445.83325,-820.74728,-589.36601,590.20195,-491.27324,-771.15811,558.90713,-566.03236,-589.99305,592.47086,-748.76939,-772.71374,552.24671,-674.08468,-586.72228,1018.24494,-598.22319,-537.02672,953.55918,-449.53299,-535.77388,960.84906,-765.21603,-490.86329,908.86106,-585.34273,-491.75454,909.44460,-628.89135,-577.84207,734.34600,-346.14522,-616.14791,623.39713,-394.79238,-606.53602,657.93603,-320.87012,-494.87613,676.28702,-332.48493,-384.92880,691.62052,-359.09780,-379.17959,646.65255,-357.99945,-546.18381,832.79651,-825.61508,-643.96704,629.27740,-799.71216,-647.14394,649.29725,-869.22158,-535.56354,663.91960,-879.97025,-418.85843,673.12939,-860.87998,-412.88295,636.37198,-862.57427,-632.27126,500.21191,-520.51330,-629.81698,504.41775,-720.74721,-629.38773,502.07519,-521.48336,-631.82961,491.61997,-691.09838,0.41000000,0.01165413,0.01646287,0.03032833,0.41000000,19.93411081,2.14193655,2.46708422,-0.59782090,0.58933973,-0.61821171,64.72936980,-9.67424872,4.75133054,88.55460286,1.54556939,9.61292451,1.94818580,-6.95119286,64.15731335,-1.69590455,0.01371120,87.13406440,1.52077631,3.30076354,-5.61715329,-6.95119286,-50.18570226,0.54134513,-2.15927580,12.91794723,-11.82177840,-11.95945618,116.67554002,89.86153573,7.98943841,-5.02791355,-13.52028806,115.62266923,91.12168792
43,0.42000000,-261.07186,456.64593,-419.47644,-231.37370,392.35029,-392.87024,-269.07482,95.33075,-429.62659,-337.06753,57.65937,-465.71603,-164.99417,46.37820,-407.34506,-124.60544,68.49946,-462.97597,-260.24390,454.99518,-798.97248,-212.42655,395.31503,-804.68070,-265.43313,95.94664,-787.48219,-338.33186,58.66242,-740.37118,-173.11981,44.87557,-807.88358,-126.68902,68.92032,-751.92269,-236.91716,281.61969,-389.91926,-305.01906,394.45293,-406.73402,-318.08876,279.01469,-406.58019,-299.52830,405.35078,-824.68118,-299.69195,283.11985,-826.18270,-545.05441,573.28770,-481.80625,-437.33334,563.05003,-452.50498,-427.61183,524.11414,-401.86631,-569.50062,489.78654,-406.37110,-453.74944,472.96086,-394.90911,-531.25431,558.24129,-787.46121,-393.64074,548.91502,-787.87198,-543.41651,446.72546,-820.41608,-400.89069,445.68697,-820.69770,-587.88624,589.62397,-490.99026,-769.76676,561.35550,-566.21676,-587.76777,591.71875,-749.20835,-771.39206,554.56961,-674.33978,-575.27775,1016.66968,-598.07666,-527.03233,950.69700,-450.51693,-524.99073,958.67508,-764.82346,-481.55950,905.43483,-585.38983,-482.37441,906.06918,-628.71285,-569.53792,733.46932,-344.98594,-608.51686,622.63751,-392.74311,-598.62619,657.25995,-319.21918,-486.67362,674.97714,-331.56121,-377.04969,689.33775,-358.40724,-371.52205,644.34194,-357.22939,-537.29071,831.34280,-825.80037,-639.74415,628.93296,-801.57920,-640.83879,649.72567,-871.17124,-529.11814,662.86803,-880.87197,-412.37731,670.67491,-860.85163,-406.84660,633.81955,-862.49723,-632.06044,500.36901,-520.51603,-629.19380,504.35112,-720.74739,-629.03968,502.04332,-521.21362,-631.59639,491.36885,-691.28822,0.42000000,0.01157551,0.01640725,0.03023227,0.42000000,18.73608252,1.97238092,2.40306211,-0.59578975,0.58865167,-0.61817135,65.91649705,-9.47872926,4.71108749,88.53825630,1.54528409,9.65465717,2.01074800,-6.95653376,65.39816288,-1.89771528,0.06063236,87.25012866,1.52280202,3.56377451,-5.44456013,-6.95653376,-50.31808475,0.63429242,-2.02213139,13.78710509,-12.33248765,-11.66888431,117.00362181,89.89318548,8.33843236,-5.51219114,-12.92778071,116.15747080,91.15181336
44,0.43000000,-261.01312,456.46530,-419.40176,-231.29118,392.37956,-392.74267,-269.16394,95.25252,-429.65013,-337.12751,57.55003,-465.70220,-165.01970,46.40330,-407.34556,-124.70046,68.62231,-463.00384,-260.13100,454.87211,-799.06265,-212.38906,395.12254,-804.73864,-265.66152,95.98434,-787.50462,-338.43852,58.48181,-740.36724,-173.15344,44.96924,-807.83029,-126.81681,69.19636,-751.97101,-236.82077,281.51516,-389.92480,-304.97189,394.43613,-406.56537,-317.99366,278.92408,-406.46618,-299.41903,405.41558,-824.84105,-299.76357,283.10910,-826.31835,-545.10726,573.55452,-481.33637,-436.70362,563.66421,-453.30994,-427.47898,524.06039,-401.70080,-569.30037,490.07646,-406.09114,-453.65359,472.92687,-394.75870,-530.97851,558.35234,-787.73201,-393.38020,548.83320,-788.18961,-543.28912,446.81617,-820.49440,-400.78320,445.60910,-820.70530,-586.29572,589.09164,-490.97617,-768.27911,563.83690,-566.36871,-585.50772,590.79467,-749.12084,-769.87778,556.94725,-674.39874,-563.48386,1014.82898,-598.23556,-516.13415,948.08859,-451.11661,-512.78488,956.49965,-764.68033,-471.89562,901.72778,-585.40922,-472.51470,902.37435,-628.52706,-560.84003,732.43802,-343.85498,-600.47762,621.55166,-390.65949,-590.39323,656.46145,-317.60920,-478.19294,673.51297,-330.53477,-368.81264,686.97410,-357.62282,-363.53198,641.89689,-356.44503,-527.98124,829.77448,-826.00842,-634.94668,628.70343,-803.21045,-634.13613,650.25209,-873.20659,-522.16265,661.89267,-881.93782,-405.49186,668.20489,-860.85172,-400.42120,631.25204,-862.63646,-631.79638,500.57171,-520.34763,-628.51150,504.19364,-720.58023,-628.71257,502.16776,-521.13011,-631.22866,491.32481,-691.14602,0.43000000,0.01140924,0.01628899,0.02994905,0.43000000,17.94002820,1.94297454,2.37601365,-0.59398497,0.58891410,-0.61823984,66.60431429,-9.48527248,4.65022076,88.49547771,1.54453746,9.73769530,2.00257391,-6.95760188,66.07470393,-1.97494716,-0.02468119,87.22320767,1.52233216,3.68241423,-5.42509041,-6.95760188,-50.96139194,0.69386662,-1.96688997,14.88662710,-12.72909545,-11.76496363,117.16020514,89.89877562,9.08464970,-5.77953856,-12.84013856,116.34872394,91.16382554
45,0.44000000,-260.95588,456.17562,-419.38031,-231.17582,392.31987,-392.79735,-269.29288,95.20242,-429.65326,-337.21193,57.41760,-465.70837,-165.02831,46.52462,-407.35914,-124.76558,68.79627,-463.03123,-259.98668,454.73510,-799.14001,-212.34794,394.93832,-804.95329,-265.87151,95.97697,-787.53477,-338.57363,58.24917,-740.32244,-173.19858,45.05397,-807.79573,-126.97474,69.47997,-752.05825,-236.70533,281.40259,-389.95449,-304.96817,394.36753,-406.66354,-317.99116,278.85533,-406.48481,-299.22312,405.54400,-825.16937,-299.88041,283.08768,-826.48402,-545.21175,573.97601,-480.94763,-435.52774,564.85800,-455.07144,-427.21706,523.99854,-401.37004,-569.09980,490.38295,-405.84557,-453.50863,472.91449,-394.62853,-530.66133,558.48868,-787.90361,-392.99108,548.78000,-788.34050,-543.08089,446.96816,-820.65072,-400.64810,445.52436,-820.70872,-584.60327,588.57715,-491.07872,-766.57686,566.36849,-566.60963,-584.34241,589.53272,-748.06471,-768.22331,559.43153,-674.48741,-551.25806,1012.72615,-598.55731,-504.58468,945.49656,-451.31330,-499.55584,954.14110,-764.70759,-461.82033,897.81902,-585.38565,-462.30976,898.41538,-628.41084,-551.75965,731.12779,-342.90615,-592.29835,620.19909,-388.59638,-581.83260,655.66395,-315.85222,-469.52849,671.92908,-329.34717,-360.17513,684.51252,-356.76345,-355.15814,639.42009,-355.60792,-518.22790,828.03763,-826.16954,-629.20175,628.65886,-805.14490,-627.02617,650.81141,-875.24939,-514.76677,660.97808,-882.97466,-398.30713,665.69146,-860.75974,-393.61875,628.69135,-862.94394,-631.67719,500.79772,-519.98203,-628.16371,503.90829,-720.21818,-628.67558,502.42392,-521.01445,-631.25775,491.54210,-690.26316,0.44000000,0.01146100,0.01632590,0.03004945,0.44000000,16.50351448,1.72842092,2.34300420,-0.59175880,0.58800196,-0.61802162,67.98568916,-9.19746481,4.65082103,88.41858933,1.54319550,9.90306141,1.99728160,-6.96177868,67.55572557,-2.19006397,0.10661619,87.30649850,1.52378586,3.99906924,-5.28948179,-6.96177868,-51.02236257,0.82058718,-1.89876768,15.88358516,-13.16031129,-11.44122375,117.67944801,89.92828050,9.43313254,-6.31710786,-12.37450264,117.18358472,91.23705871
46,0.45000000,-260.83472,455.95535,-419.61967,-231.04384,392.20908,-393.03061,-269.43572,95.22836,-429.54252,-337.30485,57.25568,-465.69358,-165.05714,46.62946,-407.39488,-124.84528,68.95233,-463.00076,-259.78951,454.58664,-799.24113,-212.27406,394.76100,-805.32766,-266.04407,95.91200,-787.58809,-338.70747,58.04362,-740.32054,-173.25962,45.08992,-807.78307,-127.12957,69.69894,-752.15760,-236.58487,281.32328,-389.96897,-304.79453,394.36066,-406.82374,-317.98966,278.85734,-406.53395,-299.04182,405.60082,-825.45527,-300.08476,282.98017,-826.46636,-544.99695,574.29866,-480.56443,-434.59879,565.56216,-456.12493,-426.80628,523.95161,-400.93361,-568.96649,490.70284,-405.60354,-453.28653,472.96986,-394.47680,-530.24524,558.59369,-787.97400,-392.52553,548.69299,-788.44367,-542.79858,447.17831,-820.88076,-400.42308,445.33426,-820.64750,-582.78277,587.56562,-490.98887,-764.65713,569.07558,-567.05180,-583.80923,587.94033,-746.67316,-766.39308,561.96839,-674.67016,-538.75164,1010.29533,-598.76859,-493.06273,942.95429,-451.40556,-486.64630,951.27282,-764.43542,-451.40117,893.69115,-585.35005,-451.81896,894.23832,-628.39371,-542.27774,729.68024,-342.04390,-583.99661,618.72945,-386.52554,-572.92045,654.87872,-313.99490,-460.55947,670.21415,-328.16258,-351.16140,681.96307,-355.87500,-346.34343,637.02553,-354.64714,-507.97427,826.15531,-826.30246,-621.32646,629.05412,-807.32026,-619.48606,651.27864,-877.28695,-507.11367,660.08385,-883.84246,-390.83851,663.17643,-860.69370,-386.46837,626.20261,-863.40124,-631.76210,500.72499,-519.62623,-628.08453,503.43836,-719.86508,-629.12735,502.67416,-520.58188,-631.84240,491.55592,-688.95181,0.45000000,0.01149956,0.01635334,0.03013613,0.45000000,15.21658971,1.62103775,2.33188762,-0.58960590,0.58731783,-0.61790246,69.23081250,-9.05424528,4.68446915,88.40183095,1.54290301,10.02681204,1.96395545,-6.96596905,68.83469189,-2.31629297,0.13650768,87.34750749,1.52450160,4.22629119,-5.10442773,-6.96596905,-51.20207657,0.92964210,-1.86809535,17.02026303,-13.59800783,-11.23675555,117.98247976,89.92769406,10.09119782,-6.75581810,-12.24540513,117.72161785,91.27555357
47,0.46000000,-260.62012,455.86610,-420.04331,-230.87782,392.15713,-393.32003,-269.56636,95.28603,-429.35782,-337.38795,57.10845,-465.69582,-165.11385,46.65718,-407.40265,-124.92521,69.08244,-462.92192,-259.49291,454.44041,-799.45552,-212.11818,394.52284,-805.64491,-266.22057,95.82266,-787.66062,-338.84766,57.88486,-740.37952,-173.34299,45.09227,-807.80777,-127.26191,69.87128,-752.29099,-236.56116,281.26843,-390.01219,-304.48106,394.45147,-407.07152,-317.93397,278.91187,-406.52905,-298.89695,405.56410,-825.56868,-300.30230,282.81166,-826.29482,-544.55595,574.46751,-480.35843,-434.11462,565.46780,-456.03945,-426.33183,523.86897,-400.74913,-568.71959,491.03358,-405.25354,-452.96643,473.04591,-394.27767,-529.70976,558.65206,-788.11347,-392.07210,548.51143,-788.56983,-542.42144,447.36201,-821.15825,-400.07577,445.06754,-820.62687,-580.89978,586.05600,-490.64757,-762.55070,571.99925,-567.56821,-582.42024,586.47034,-745.91730,-764.22715,564.57487,-674.76524,-526.10541,1007.72625,-598.78597,-481.06204,940.07494,-451.74461,-474.31406,947.85740,-763.77734,-440.77111,889.30490,-585.26802,-441.03817,889.85259,-628.33171,-532.33635,728.27050,-341.08643,-575.26346,617.21111,-384.56924,-563.56468,654.02703,-312.17385,-451.20097,668.41933,-326.93079,-341.79552,679.35455,-354.91466,-337.14528,634.63321,-353.67552,-497.19929,824.12469,-826.38524,-611.56789,629.54989,-809.58170,-611.45249,651.65505,-879.52490,-498.99765,659.24550,-884.79758,-382.87956,660.70944,-860.85205,-378.91773,623.72856,-863.86171,-631.75804,500.41970,-519.44055,-627.72436,503.02959,-719.67504,-629.68226,502.89136,-519.98926,-632.30988,491.25014,-688.04771,0.46000000,0.01149293,0.01634862,0.03022432,0.46000000,13.75887927,1.54418224,2.27485855,-0.58707019,0.58626822,-0.61765362,70.70895545,-8.85812251,4.76630338,88.48258764,1.54431249,10.10321057,1.92273492,-6.97218952,70.31598855,-2.50987859,0.07194423,87.46953947,1.52663146,4.48918368,-4.86048486,-6.97218952,-51.17243084,0.92925309,-1.88157484,18.14268097,-14.05576890,-10.99931929,118.24503616,89.89616293,10.78026095,-7.21656552,-12.21363120,118.21964462,91.30807991
48,0.47000000,-260.33405,455.73073,-420.45230,-230.66450,392.10152,-393.62370,-269.69679,95.27993,-429.25187,-337.47584,56.97454,-465.77377,-165.19668,46.66738,-407.36798,-124.99966,69.22815,-462.85060,-259.04503,454.27383,-799.77460,-211.83586,394.21484,-805.85970,-266.40993,95.72067,-787.72098,-338.99105,57.74182,-740.43371,-173.45639,45.13616,-807.88054,-127.37008,70.05897,-752.42490,-236.60884,281.17252,-390.13873,-304.24766,394.57042,-407.50833,-317.87700,279.01253,-406.57031,-298.68663,405.46880,-825.56995,-300.36060,282.69276,-826.26309,-544.04212,574.48952,-480.31649,-433.57776,565.18120,-455.81516,-425.77792,523.74493,-400.91080,-568.22390,491.39319,-404.80646,-452.56847,473.09842,-394.09295,-529.03725,558.68607,-788.42084,-391.53400,548.27486,-788.65919,-541.91508,447.40909,-821.41347,-399.62767,444.86397,-820.81116,-578.84278,584.70204,-490.32632,-760.15900,575.03253,-567.93686,-580.05433,584.78589,-745.56440,-761.73019,567.36037,-674.75944,-513.61665,1005.09637,-598.67481,-467.82277,935.48958,-453.08386,-461.67870,944.03324,-763.04938,-429.97750,884.72550,-585.02252,-430.01296,885.30341,-628.06170,-521.93006,726.92136,-339.99295,-565.92312,615.64200,-382.67707,-553.71168,653.10818,-310.34402,-441.39431,666.69371,-325.61176,-332.06178,676.73696,-353.92180,-327.63363,632.11088,-352.86354,-485.90393,821.96188,-826.49924,-602.08830,629.59670,-811.92193,-602.85696,652.06154,-882.05069,-490.01913,658.55789,-886.34872,-374.21050,658.23362,-861.15055,-370.88292,621.13672,-864.14281,-631.50839,500.31893,-519.14985,-626.99538,502.50214,-719.37805,-629.69075,502.91379,-519.55503,-632.16168,490.84699,-687.56405,0.47000000,0.01141689,0.01629445,0.03013574,0.47000000,12.28011539,1.42854036,2.17622520,-0.58435449,0.58531200,-0.61749335,72.16079749,-8.61360357,4.82043367,88.49131214,1.54446476,10.23473238,1.85153879,-6.97730501,71.76927192,-2.73916805,0.04688248,87.55789741,1.52817360,4.76158601,-4.73103208,-6.97730501,-51.17180882,0.97689484,-1.78389969,19.27561713,-14.52173372,-10.87626418,118.63171707,89.86282237,11.56238089,-7.68167694,-12.02579620,118.71947973,91.34800778
49,0.48000000,-259.93614,455.49964,-420.71285,-230.39274,391.94572,-393.93849,-269.89127,95.16138,-429.31038,-337.60687,56.77389,-465.90391,-165.29085,46.75118,-407.35657,-125.16351,69.45763,-462.75765,-258.44259,454.02109,-800.10137,-211.37896,393.91098,-806.29070,-266.61329,95.62110,-787.76114,-339.11344,57.61300,-740.49560,-173.59421,45.28534,-807.93073,-127.47623,70.32177,-752.45078,-236.50437,280.98096,-390.31723,-304.05537,394.66417,-407.89756,-317.84230,279.11354,-406.84289,-298.33882,405.26416,-825.47313,-300.22552,282.60713,-826.43027,-543.22270,574.16760,-480.22494,-432.90959,564.91999,-455.77550,-425.04530,523.58184,-401.12959,-567.57540,491.76218,-404.35076,-452.06232,473.12253,-393.99798,-528.23681,558.69262,-788.76036,-390.78300,548.06336,-788.80706,-541.33199,447.31617,-821.55615,-399.09397,444.76236,-821.19840,-576.44670,583.67531,-490.12272,-757.33302,578.05754,-568.21869,-577.28061,582.52325,-745.17625,-759.02798,570.35603,-674.92147,-501.82543,1002.07027,-598.47487,-455.59349,931.89581,-453.75718,-448.37521,939.99685,-762.32081,-419.10357,880.02628,-584.61254,-418.80923,880.68201,-627.66832,-511.14648,725.60989,-338.82967,-556.14255,614.19087,-380.43946,-543.42350,652.16524,-308.45289,-431.10660,665.03368,-324.28836,-321.93802,674.20076,-353.03075,-317.77294,629.50269,-352.20625,-474.04082,819.65553,-826.73347,-593.71437,629.30845,-814.22175,-593.66859,652.48043,-884.58887,-480.27965,657.91417,-888.41000,-364.89406,655.73014,-861.43385,-362.27856,618.55976,-864.42797,-631.05607,500.47572,-518.69117,-626.05766,501.67104,-718.91639,-628.89354,502.55401,-519.28797,-631.55993,490.43761,-687.16843,0.48000000,0.01136715,0.01625892,0.03013522,0.48000000,10.67619483,1.20987507,2.10353761,-0.58131345,0.58406636,-0.61738372,73.70024591,-8.35804276,4.75059832,88.52905436,1.54512348,10.42266305,1.72325261,-6.98320387,73.41685131,-2.98881362,0.14006330,87.73732885,1.53130527,5.07877296,-4.55866084,-6.98320387,-50.94210061,1.12365173,-1.66895052,20.47872079,-15.02710657,-10.58476282,118.89002149,89.78902116,12.22787389,-8.18555168,-11.81288190,119.17436294,91.36865923
50,0.49000000,-259.33535,455.37741,-420.76594,-230.03068,391.71028,-394.21809,-270.21759,94.99572,-429.44904,-337.78481,56.45801,-465.99955,-165.38695,46.99970,-407.38318,-125.43581,69.87618,-462.59082,-257.73778,453.65591,-800.41789,-210.74529,393.59920,-807.02864,-266.88615,95.55390,-787.81390,-339.24427,57.47921,-740.61322,-173.75169,45.55239,-807.88915,-127.67067,70.74572,-752.38003,-236.27039,280.71357,-390.47134,-303.61537,394.68830,-408.10697,-317.75874,279.15476,-407.32621,-297.83033,404.99288,-825.40992,-300.01287,282.50288,-826.61136,-541.99547,573.43236,-480.13765,-432.14889,564.57317,-455.77622,-424.12713,523.38753,-401.24430,-566.78576,492.19271,-403.92957,-451.33303,473.10091,-393.98859,-527.32549,558.58212,-788.90476,-389.84900,547.80705,-789.10980,-540.73569,447.13995,-821.57824,-398.41919,444.63089,-821.62339,-573.84518,582.62845,-489.73812,-754.03215,581.09551,-568.56342,-573.85896,580.39929,-745.12914,-756.03414,573.45215,-675.27196,-489.83106,999.11228,-598.25512,-446.55531,934.50777,-450.62304,-434.74351,936.27929,-761.38969,-408.21759,875.32306,-584.21040,-407.43671,876.07544,-627.34871,-499.97817,724.31424,-337.66448,-546.12780,613.06541,-377.82794,-532.73910,651.26171,-306.52731,-420.39366,663.39854,-322.94425,-311.43904,671.82954,-352.21798,-307.51974,626.98794,-351.62740,-461.62104,817.14731,-826.87461,-585.19059,629.00099,-816.60511,-583.85947,652.80997,-886.94516,-470.16799,657.07398,-890.22146,-355.15849,653.35821,-861.72099,-353.03828,616.25341,-864.97575,-630.29295,500.66446,-518.37777,-624.67447,501.01584,-718.59202,-627.53280,502.08387,-518.90354,-630.68716,490.04247,-687.00673,0.49000000,0.01140776,0.01628793,0.03008105,0.49000000,9.00167730,1.02269424,1.96737616,-0.57801286,0.58288576,-0.61719725,75.28990127,-8.06651387,4.71024769,88.54173710,1.54534484,10.76000602,1.58055971,-6.98747785,75.07409231,-3.28467534,0.19278883,87.89583407,1.53407170,5.48979967,-4.44162822,-6.98747785,-50.45880437,1.27873896,-1.81785027,21.91325309,-15.36691751,-9.90928661,118.82670876,89.71100811,12.71121057,-8.80661831,-11.80539503,119.50627864,91.37602018
