Frame#,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,time,total_squared_error,marker_error_RMS,marker_error_max
177,1.76000000,-241.70488,466.65720,-392.06114,-206.16075,357.32857,-422.97194,-287.01947,85.66257,-456.73961,-338.60946,51.11527,-511.04092,-176.31663,40.34699,-429.61357,-140.39918,57.17503,-473.43146,-214.55266,478.20412,-749.51003,-178.67624,368.91886,-728.82141,-301.48002,100.14962,-785.73496,-346.25792,62.44810,-751.60620,-184.29437,37.26496,-807.68919,-144.71780,56.16132,-755.31707,-220.59035,247.41746,-444.05457,-255.61570,351.03316,-365.73757,-289.32835,247.14170,-395.25831,-235.46070,408.44041,-786.49740,-266.23522,292.20941,-809.56058,-181.83002,775.74244,-378.95485,-169.20468,667.12079,-385.17259,-210.92272,633.97046,-344.36483,-282.83538,758.48914,-332.62581,-265.21928,644.66815,-339.05134,-196.51107,773.93771,-720.05008,-161.19498,644.26596,-738.83557,-305.87744,758.49587,-743.24484,-267.82068,622.79448,-757.56143,-182.02711,930.18138,-399.55671,-359.05624,989.39080,-474.30696,-174.50293,930.91975,-646.68566,-358.28645,988.16246,-590.54148,-284.95675,1435.43072,-490.98795,-237.94677,1401.04284,-337.63650,-217.33787,1431.12873,-639.91843,-160.26501,1385.39192,-464.69599,-153.25947,1386.15072,-503.69371,-253.80711,1277.19042,-268.19885,-366.25246,1096.15098,-328.83462,-340.77457,1107.41863,-249.78209,-219.24385,1099.90845,-263.05070,-124.12717,1107.38773,-298.13125,-119.23079,1072.73682,-284.84328,-230.36002,1294.69228,-725.10890,-329.99358,1116.78097,-692.66958,-318.10502,1131.55601,-771.79192,-211.22821,1119.57160,-754.01903,-98.04302,1118.49807,-696.46413,-95.63834,1088.10697,-708.14555,-277.10482,866.92183,-429.66002,-266.87161,862.85655,-618.71733,-258.62381,868.64850,-434.10147,-257.54287,866.92372,-597.27028,1.76000000,-6.29225936,-2.19898443,-1.70314078,-0.20816892,0.93763529,-0.52437005,10.86666201,7.64150392,3.35519649,8.86556398,0.15473328,4.79587938,-9.50642407,-7.49999987,14.62993825,-12.01910031,-0.41339893,17.78350211,0.31038066,5.36820237,1.58245084,-7.49999987,-6.90770772,7.68346160,-1.90925178,-12.86850797,-11.60003857,-4.83653160,122.73127756,102.26606901,-14.61186151,-4.03235898,-3.48862305,118.81469227,97.91676991,1.76000000,0.00431171,0.01001361,0.02148211
178,1.77000000,-240.03543,466.57614,-393.54224,-204.57549,357.09671,-424.35764,-286.92775,85.61569,-457.19102,-338.64217,51.10316,-511.13216,-176.29496,40.42511,-429.65487,-140.43612,57.20397,-473.45266,-213.95450,478.11914,-749.87565,-178.21334,368.76939,-728.91048,-301.45444,100.20751,-785.78508,-346.29471,62.18365,-750.63847,-184.35102,37.33251,-807.48135,-144.68145,56.26860,-755.28242,-219.47401,247.09691,-445.10554,-254.19710,351.35039,-367.11584,-288.33003,247.63868,-396.32733,-234.81617,408.36080,-786.80547,-265.58723,292.20225,-810.03993,-183.45870,776.00180,-379.66362,-169.73576,667.46622,-385.96137,-211.36060,633.97404,-345.38982,-284.36237,757.68923,-333.51615,-265.42749,644.28252,-339.84563,-197.55611,773.71412,-720.52261,-161.48771,644.31411,-739.07740,-306.82351,757.66157,-743.81738,-268.16054,621.67757,-757.02568,-184.34231,929.73861,-400.01607,-360.89871,989.41265,-475.04713,-176.05580,930.20001,-646.96079,-359.70660,988.03735,-591.47524,-283.46055,1435.00306,-490.64307,-236.93687,1399.96536,-337.19140,-215.67813,1430.72409,-639.38942,-159.20939,1384.14860,-464.16058,-152.14120,1385.01683,-503.12844,-252.88394,1275.93012,-267.98919,-365.29579,1094.76629,-328.46938,-339.79358,1106.38904,-249.35373,-218.20350,1098.65629,-262.76749,-123.10266,1106.13132,-297.70189,-118.26665,1071.62515,-284.12725,-228.93803,1294.34288,-724.96108,-329.26024,1116.67779,-693.63480,-316.99180,1131.65491,-772.39899,-210.15170,1119.15436,-754.11606,-97.20942,1117.37927,-696.17292,-94.90026,1087.07151,-708.02196,-279.45399,866.72431,-430.20117,-268.70552,862.45110,-619.22545,-261.03585,868.46565,-434.74068,-259.36785,866.53948,-597.79576,1.77000000,-6.52701088,-2.16405621,-1.92132963,-0.21000171,0.93704114,-0.52473160,11.54717302,7.71377233,3.95372239,9.46934439,0.16527124,4.33659166,-10.82069451,-7.49999987,15.16252560,-12.00014371,-0.54929472,18.20430693,0.31772509,5.44631713,1.43914435,-7.49999987,-7.10925574,7.77834510,-1.79433407,-12.28538983,-11.80784997,-4.86695028,122.49748837,104.37889896,-14.33693966,-4.09617586,-3.52906143,118.50124441,100.22653436,1.77000000,0.00437351,0.01008511,0.02157934
179,1.78000000,-238.03535,466.48733,-395.06785,-202.70419,356.70850,-425.87818,-286.86275,85.78753,-457.49916,-338.64235,51.13990,-511.17435,-176.26788,40.49388,-429.70800,-140.46525,57.24105,-473.51672,-213.33100,477.87440,-750.13775,-177.56785,368.64630,-729.05333,-301.44167,100.21183,-785.72885,-346.33180,61.33637,-748.71674,-184.39631,37.37397,-807.37724,-144.66566,56.34386,-755.22190,-218.18081,246.61264,-446.06443,-252.47846,351.57224,-368.60659,-287.20194,248.17997,-397.29314,-234.06657,408.11940,-786.93422,-264.92460,292.51932,-810.91359,-185.18833,776.26443,-380.44889,-170.14177,667.88992,-386.90763,-211.60869,633.92257,-346.71594,-285.92605,756.78537,-334.34141,-265.54577,643.78151,-340.75511,-198.64491,773.58657,-721.03676,-161.81269,644.36687,-739.36423,-307.80076,756.67906,-744.32115,-268.37078,620.68235,-756.91674,-186.81983,929.27592,-400.45675,-362.99224,989.44032,-475.70275,-177.79323,929.30392,-647.29149,-361.27256,987.93472,-592.40227,-281.93711,1434.43169,-490.16208,-235.85045,1398.78840,-336.79550,-213.90495,1430.23736,-638.80769,-158.04569,1382.74620,-463.69816,-150.94681,1383.65677,-502.67632,-251.90338,1274.57917,-267.85974,-364.27740,1093.25082,-328.09764,-338.80495,1105.43285,-248.99907,-217.23785,1097.36939,-262.42939,-122.07348,1104.82121,-297.32304,-117.27160,1070.43212,-283.41493,-227.34869,1293.98622,-724.93207,-328.44442,1116.51412,-694.60026,-315.77711,1131.67080,-773.15235,-208.99188,1118.68139,-754.39820,-96.34786,1116.05240,-696.01200,-94.22342,1086.08617,-708.36395,-282.02208,866.52919,-430.69398,-270.79746,861.96897,-619.68382,-263.70805,868.13816,-435.45769,-261.30702,866.03511,-598.44594,1.78000000,-6.76171892,-2.13516959,-2.05238392,-0.21197465,0.93636977,-0.52532096,12.36529017,7.72401862,4.09101521,10.34138170,0.18049116,4.74265982,-10.74776892,-7.49999987,15.73035574,-11.92875741,-0.50715439,18.61334949,0.32486423,5.50308452,1.11079102,-7.49999987,-7.35983017,7.89953901,-1.71958570,-11.72248501,-12.01186046,-4.79766232,122.61443191,103.13140117,-14.01914686,-4.18370138,-3.39880736,118.59436336,99.12262330,1.78000000,0.00448601,0.01021400,0.02177669
180,1.79000000,-235.62158,466.30995,-396.92724,-200.54212,356.24213,-427.33385,-286.83899,86.08073,-457.76378,-338.58390,51.27848,-511.05982,-176.24859,40.53655,-429.74244,-140.45599,57.27617,-473.60631,-212.55160,477.46157,-750.29338,-176.84393,368.47353,-729.09570,-301.50659,99.91041,-784.51893,-346.32365,60.10467,-747.37610,-184.38514,37.41688,-807.31885,-144.67196,56.32764,-755.14339,-216.71758,246.04981,-446.98791,-250.49776,351.72770,-370.09385,-285.95237,248.54412,-398.46091,-233.30133,407.78190,-786.75689,-264.27314,292.52165,-811.12507,-187.08178,776.59966,-381.16598,-170.44109,668.49758,-387.91471,-211.56376,633.95597,-347.77306,-287.60140,755.71032,-335.17045,-265.86908,643.00945,-342.21391,-199.88819,773.39028,-721.39072,-162.12348,644.43016,-739.67616,-308.75804,755.72894,-745.00681,-268.32885,620.01516,-757.60497,-189.48271,928.61794,-400.93301,-365.14521,989.41416,-476.49714,-179.74572,928.26643,-647.59641,-363.04085,987.84070,-593.22738,-280.35928,1433.71560,-489.73084,-234.67158,1397.44262,-336.51792,-211.98323,1429.46096,-638.10985,-156.76477,1381.20629,-463.33328,-149.63490,1382.04446,-502.35928,-250.87897,1273.10913,-267.80472,-363.34052,1091.72423,-327.69759,-337.79002,1104.19305,-248.68991,-216.28392,1096.03867,-261.91193,-121.07184,1103.51371,-296.78120,-116.28469,1069.11955,-282.78540,-225.59704,1293.55798,-724.82569,-327.57500,1116.32300,-695.48300,-314.44661,1131.62729,-774.09599,-207.83450,1118.07438,-754.78846,-95.47701,1114.59166,-695.94859,-93.55873,1085.07464,-708.98333,-284.82460,866.22540,-431.22182,-273.14415,861.41264,-620.17770,-266.51926,867.68604,-436.13766,-263.58170,865.48998,-599.02123,1.79000000,-6.90718351,-2.03155809,-2.27235178,-0.21401760,0.93565294,-0.52580582,13.14753497,7.70037779,4.39329544,11.33852865,0.19789466,5.12790948,-11.23210143,-7.49999987,16.22189535,-11.78456883,-0.76597346,19.12563732,0.33380534,5.71907433,0.43681525,-7.49999987,-7.73506600,7.90916549,-1.56956558,-11.12259967,-12.20813803,-4.63514958,122.75939848,101.68788491,-13.69551922,-4.29244347,-3.31844990,118.77379473,97.80284261,1.79000000,0.00463147,0.01037827,0.02200990
181,1.80000000,-232.77890,466.05907,-398.94594,-198.10246,355.73760,-428.76812,-286.78676,86.23512,-458.23352,-338.46514,51.44416,-510.86328,-176.23153,40.59373,-429.78975,-140.43543,57.28650,-473.66834,-211.55896,477.09639,-750.55359,-176.04678,368.20592,-729.11178,-301.59568,99.39430,-782.49931,-346.27640,59.58011,-747.78035,-184.34495,37.46264,-807.25130,-144.67578,56.25186,-755.07445,-215.12639,245.55147,-448.04344,-248.20908,351.82826,-371.69130,-284.45354,248.77065,-399.72799,-232.49367,407.46670,-786.60597,-263.48902,292.15088,-810.83000,-189.16690,776.91810,-381.90104,-170.68630,669.18346,-388.86379,-211.43351,634.00216,-348.54261,-289.40825,754.34275,-336.15683,-266.11953,641.97390,-343.88244,-201.32277,773.00600,-721.44925,-162.34148,644.50987,-739.94517,-309.75488,754.81240,-745.93332,-268.17085,619.32031,-758.41986,-192.31606,927.37744,-401.80417,-367.29251,989.24306,-477.46000,-181.85607,927.20845,-647.91131,-364.97613,987.71789,-594.04758,-278.55031,1432.81115,-489.47244,-233.36605,1395.91178,-336.31132,-209.85044,1428.37402,-637.39389,-155.38614,1379.44783,-462.97451,-148.19272,1380.17874,-502.04904,-249.82213,1271.51407,-267.74458,-362.45451,1090.11417,-327.38944,-336.78520,1102.71763,-248.40556,-215.34008,1094.65233,-261.24097,-120.08966,1102.13780,-295.98944,-115.33640,1067.70722,-282.16921,-223.72516,1292.88992,-724.56730,-326.72086,1116.14883,-696.20655,-313.05583,1131.49339,-775.08385,-206.62673,1117.26721,-755.17692,-94.56357,1113.01621,-695.89206,-92.75698,1083.66992,-709.29171,-287.84479,865.53935,-432.08451,-275.72501,860.85090,-621.01554,-269.46101,867.14122,-437.09316,-266.23151,865.01478,-599.62515,1.80000000,-7.30417603,-1.92150612,-2.50013273,-0.21636810,0.93458802,-0.52629641,14.19255537,7.77225756,5.28770302,12.23853040,0.21360265,3.90074820,-13.83269529,-7.49999987,17.01565053,-11.60969977,-0.79889275,19.62821367,0.34257695,5.49918333,-0.51780508,-7.49999987,-7.86103747,7.91257463,-1.55525951,-10.42442428,-12.43234306,-4.52856453,122.64746941,101.51601955,-13.45433088,-4.36713568,-3.37841090,118.72122329,97.91879131,1.80000000,0.00477254,0.01053515,0.02228706
182,1.81000000,-229.60959,465.77513,-400.67037,-195.42841,355.16239,-430.22602,-286.67809,86.27803,-458.78659,-338.37625,51.50422,-510.82270,-176.22357,40.66499,-429.83374,-140.43275,57.26438,-473.68974,-210.43333,476.86055,-750.87367,-175.15173,367.83956,-729.05426,-301.57437,99.10340,-781.37820,-346.22300,60.50390,-749.30866,-184.31381,37.48416,-807.19840,-144.66707,56.17023,-755.00604,-213.43480,245.11183,-449.17670,-245.65915,351.87921,-373.31585,-282.73978,249.05747,-400.76654,-231.44616,407.29374,-786.84160,-262.67824,291.86960,-810.79377,-191.44322,777.11297,-382.71651,-170.95339,669.83635,-389.73370,-211.32630,633.91429,-349.42521,-291.32080,752.66659,-337.30619,-265.96792,640.72601,-345.15180,-202.86111,772.62026,-721.41936,-162.47522,644.59322,-740.09564,-310.89534,753.67608,-746.80822,-268.06518,618.45483,-758.90943,-195.33030,925.65530,-402.98490,-369.58661,988.95557,-478.35922,-184.16347,926.05149,-648.22140,-367.03953,987.58875,-594.90850,-276.50896,1431.66253,-489.22723,-231.91784,1394.22954,-336.09439,-207.40967,1427.09626,-636.79243,-153.92121,1377.36293,-462.53728,-146.69275,1378.05208,-501.62733,-248.67040,1269.82940,-267.62645,-361.54238,1088.33408,-327.17877,-335.82867,1101.06217,-248.12992,-214.42141,1093.15664,-260.65913,-119.11060,1100.60821,-295.18526,-114.39097,1066.19117,-281.47588,-221.74218,1291.90294,-724.34873,-325.85760,1115.85437,-696.99903,-311.65907,1131.17693,-776.11011,-205.38075,1116.29040,-755.53767,-93.65244,1111.28355,-695.79969,-91.82945,1081.81510,-709.13991,-291.11921,864.54155,-433.16308,-278.59413,860.25764,-622.07745,-272.66212,866.43544,-438.37887,-269.12299,864.53586,-600.35374,1.81000000,-7.68902315,-1.74523260,-2.64056028,-0.21886549,0.93331466,-0.52691065,15.40582719,7.71113804,5.64396458,13.48305674,0.23532373,3.66649168,-15.05421895,-7.49999987,17.87835707,-11.37691635,-0.60322826,20.25220858,0.35346772,5.49474106,-0.97422519,-7.49999987,-8.03326138,7.87607518,-1.58864598,-9.73413561,-12.52509454,-4.44067438,122.61165113,102.08170583,-13.19730769,-4.51565373,-3.41016819,118.65623105,98.68634943,1.81000000,0.00492233,0.01069919,0.02253531
183,1.82000000,-226.20426,465.35955,-402.13517,-192.59308,354.46042,-431.61619,-286.59143,86.37393,-459.12462,-338.36903,51.57703,-510.82295,-176.23569,40.70313,-429.82535,-140.43567,57.22893,-473.70867,-209.23305,476.61946,-751.11500,-174.25408,367.41958,-728.77739,-301.42939,99.14637,-781.54444,-346.18197,61.91186,-750.56611,-184.29103,37.48169,-807.18053,-144.64874,56.08265,-754.93528,-211.63945,244.59180,-450.23428,-242.97538,351.87644,-374.73738,-280.97698,249.29802,-401.69126,-230.02762,407.31530,-787.41841,-261.83381,291.81345,-811.21903,-193.91609,777.17389,-383.39793,-171.31261,670.45419,-390.54923,-211.13199,633.69407,-350.41808,-293.36579,750.80696,-338.48752,-265.66436,639.32448,-346.01744,-204.44963,772.44309,-721.72100,-162.62405,644.73051,-740.17491,-312.17528,752.29099,-747.74792,-267.95382,617.60680,-759.46694,-198.53612,923.88392,-403.86763,-372.14329,988.48240,-479.07684,-186.74690,924.64935,-648.52474,-369.25845,987.42141,-595.72796,-274.34811,1430.21874,-488.87858,-230.33325,1392.33324,-335.88286,-204.71883,1425.60293,-636.28317,-152.38325,1374.96738,-462.04779,-145.15538,1375.61841,-501.16411,-247.39973,1268.01081,-267.50959,-360.59219,1086.44635,-327.03460,-334.90620,1099.25950,-247.88256,-213.47904,1091.44710,-260.36212,-118.12736,1098.85649,-294.58648,-113.43710,1064.51778,-280.67973,-219.67566,1290.63692,-724.44344,-324.93499,1115.28253,-698.01292,-310.22285,1130.62363,-777.15301,-204.18180,1115.14087,-755.93566,-92.72061,1109.33100,-695.69913,-90.89450,1079.78031,-708.96018,-294.63461,863.46489,-434.07135,-281.71243,859.49824,-622.96636,-276.11657,865.28024,-439.56336,-272.11994,863.81060,-601.16854,1.82000000,-8.08101950,-1.50032618,-2.78518515,-0.22150294,0.93191602,-0.52755919,16.70831618,7.53618577,5.76607540,14.88684485,0.25982446,4.16635805,-15.35067716,-7.49999987,18.77607051,-11.10622573,-0.37420559,20.90915594,0.36493362,5.39170254,-1.30179223,-7.49999987,-8.25216483,7.72961396,-1.66572969,-8.96358895,-12.70462908,-4.41583866,122.42897893,104.00348823,-12.89323962,-4.62288634,-3.55143467,118.49340014,101.10940744,1.82000000,0.00502310,0.01080816,0.02270823
184,1.83000000,-222.66330,464.74105,-403.64506,-189.63557,353.58837,-432.87769,-286.54720,86.51255,-459.25315,-338.36106,51.64560,-510.82066,-176.24563,40.70247,-429.77973,-140.43107,57.19590,-473.73386,-207.93105,476.35267,-751.47817,-173.32790,367.04530,-728.59412,-301.24381,99.24898,-781.89670,-346.16056,62.55924,-750.97453,-184.25879,37.48047,-807.18528,-144.62372,55.97550,-754.88335,-209.74970,243.88953,-451.15868,-240.18614,351.76963,-376.00955,-279.17045,249.36703,-402.69605,-228.44215,407.31127,-787.92367,-260.69507,291.81229,-811.87119,-196.56794,777.08278,-383.86939,-171.75333,670.97072,-391.27462,-210.89221,633.44521,-351.14800,-295.63602,748.81168,-339.58416,-265.58657,637.82616,-346.96847,-206.12092,772.37041,-722.42391,-162.87010,645.03905,-740.35261,-313.54592,750.88234,-748.98879,-267.67335,616.80508,-760.44072,-201.88573,922.01490,-404.37827,-374.85905,987.66898,-479.75752,-189.52854,923.07625,-648.94180,-371.65216,987.09544,-596.51410,-272.08483,1428.47332,-488.55141,-228.61317,1390.12382,-335.70835,-201.93296,1423.73305,-635.70687,-150.76654,1372.30730,-461.49898,-143.55180,1372.75634,-500.85788,-246.10145,1265.93421,-267.45992,-359.60160,1084.47737,-327.00783,-333.96089,1097.30749,-247.70270,-212.49023,1089.51556,-260.19003,-117.14127,1096.84705,-294.05009,-112.45620,1062.62460,-279.92430,-217.52874,1289.09382,-724.71215,-323.97738,1114.42406,-699.13592,-308.68285,1129.79262,-777.97616,-202.96532,1113.74581,-756.46877,-91.67729,1107.13377,-695.73049,-89.97941,1077.66415,-709.07037,-298.27639,862.20462,-434.89293,-284.93542,858.54282,-623.76465,-279.66415,863.57738,-440.53274,-275.22648,862.78381,-602.08844,1.83000000,-8.44473976,-1.25139834,-2.88196245,-0.22434761,0.93033066,-0.52818677,18.05608281,7.33846989,5.79230963,16.43226227,0.28679708,5.21866192,-14.86742918,-7.49999987,19.69437194,-10.82373606,-0.06312752,21.61311470,0.37722001,5.40024763,-1.55875175,-7.49999987,-8.54650733,7.58156071,-1.70742881,-8.28217915,-12.79977677,-4.24208176,122.75691858,101.35228617,-12.52333463,-4.80978066,-3.38866456,118.90551457,98.74799399,1.83000000,0.00519328,0.01098972,0.02301267
185,1.84000000,-219.15450,464.06270,-405.04204,-186.57229,352.58612,-434.01259,-286.47201,86.61316,-459.36440,-338.25924,51.35634,-511.22385,-176.23156,40.69549,-429.75330,-140.41303,57.16485,-473.75071,-206.49624,476.15140,-752.11160,-172.18449,366.75420,-728.84025,-301.04599,99.30781,-781.95118,-346.14736,62.62555,-750.94139,-184.21740,37.48463,-807.19880,-144.59079,55.89070,-754.87607,-207.86000,243.09625,-451.95647,-237.26575,351.57226,-377.23001,-277.25932,249.51975,-403.47072,-226.93447,407.02770,-788.21226,-259.34352,291.79562,-812.50571,-199.35253,776.74595,-384.37111,-172.19230,671.20047,-391.82400,-210.79832,632.95881,-351.70595,-298.13135,746.54626,-340.57431,-265.75653,636.13191,-348.24032,-207.92884,772.24427,-723.21081,-163.09970,645.45192,-740.64167,-314.99387,749.49121,-750.16645,-267.27281,615.95304,-761.58728,-205.30775,919.68283,-404.97261,-377.58151,986.57302,-480.61118,-192.41545,921.43534,-649.42999,-374.19373,986.52084,-597.28264,-269.73619,1426.48920,-488.33233,-226.74722,1387.60774,-335.54798,-199.02725,1421.46013,-634.96907,-149.02380,1369.28885,-460.93290,-141.83343,1369.55494,-500.62744,-244.82530,1263.55595,-267.46238,-358.57715,1082.31582,-326.95300,-332.97573,1095.11419,-247.62303,-211.51438,1087.41026,-259.80887,-116.14031,1094.69885,-293.42904,-111.40620,1060.46500,-279.36565,-215.21392,1287.21022,-724.75639,-322.99810,1113.29111,-700.30280,-307.05532,1128.67921,-778.66296,-201.60783,1112.11905,-757.10972,-90.56404,1104.73230,-695.95677,-89.04155,1075.35727,-709.43125,-301.99958,860.56274,-435.91178,-288.22804,857.44050,-624.76202,-283.25694,861.67911,-441.50224,-278.56760,861.60622,-603.00506,1.84000000,-8.80191078,-0.96941102,-3.08296232,-0.22730544,0.92858087,-0.52860959,19.32791009,7.23868138,6.32160131,17.76066501,0.30998208,4.45411985,-16.95945939,-7.49999987,20.63984529,-10.57136083,-0.10059327,22.39827254,0.39092360,5.32021444,-2.18829892,-7.49999987,-8.87103188,7.36501282,-1.78725368,-7.39526542,-12.86459203,-4.00279782,122.66666369,101.07596238,-12.23583570,-4.97314562,-3.58138626,119.09901349,98.41130906,1.84000000,0.00532623,0.01112950,0.02326428
186,1.85000000,-215.75191,463.44449,-406.01076,-183.49725,351.54269,-435.03712,-286.35868,86.65554,-459.53029,-338.09310,50.81438,-511.96683,-176.20370,40.68298,-429.77980,-140.36635,57.13899,-473.77851,-204.94198,475.98318,-752.84164,-170.86394,366.46371,-729.23629,-300.81683,99.41570,-782.01227,-346.11887,62.74753,-750.89099,-184.17950,37.48429,-807.20391,-144.54294,55.87104,-754.93008,-206.13275,242.44321,-452.62460,-234.29173,351.34474,-378.28594,-275.22059,249.61008,-403.99026,-225.40725,406.58780,-788.64196,-258.08759,291.64976,-812.94132,-202.24952,776.11332,-384.96513,-172.69694,671.08679,-392.15664,-210.86556,631.84186,-352.55949,-300.69418,743.89291,-341.62416,-266.00970,634.15274,-349.47770,-209.91374,772.02737,-723.80166,-163.08202,645.68031,-740.80683,-316.56093,747.94347,-751.04674,-266.96359,615.05113,-762.66027,-208.76643,916.91178,-405.70169,-380.34502,985.31943,-481.59702,-195.46060,919.68389,-649.86421,-376.86292,985.71706,-597.92183,-267.36313,1424.32105,-488.08778,-224.75079,1384.81494,-335.37688,-195.96256,1418.86493,-634.11847,-147.17339,1365.78282,-460.57564,-139.92068,1366.30665,-500.13861,-243.49678,1260.91422,-267.44379,-357.52889,1079.89519,-326.70022,-331.96690,1092.60347,-247.60882,-210.61297,1085.03802,-259.19662,-115.08086,1092.55406,-292.90973,-110.34581,1058.02550,-278.87380,-212.70599,1284.99881,-724.60027,-321.93399,1111.82015,-701.55290,-305.38885,1127.35780,-779.72345,-200.15467,1110.33866,-757.75615,-89.48034,1102.15050,-696.16703,-88.05362,1072.76830,-709.75553,-305.82726,858.61095,-437.03396,-291.66414,856.19036,-625.86600,-286.97040,859.75473,-442.48498,-282.14121,860.30663,-603.80915,1.85000000,-9.15045476,-0.63369241,-3.16988834,-0.23022858,0.92659182,-0.52928116,20.69410327,6.95254363,6.24553016,19.30009637,0.33685023,5.22505554,-17.01256928,-7.49999987,21.64140122,-10.24062736,-0.10479104,23.26460401,0.40604394,5.52563972,-2.27180492,-7.49999987,-9.21187415,7.10739562,-1.91488197,-6.60951490,-12.89593550,-3.98510504,122.51384087,104.10231098,-11.85635135,-5.21244929,-3.79919807,119.05056211,100.49537672,1.85000000,0.00540664,0.01121319,0.02356962
187,1.86000000,-212.43359,462.70264,-406.87546,-180.55731,350.48128,-435.94816,-286.26372,86.68300,-459.65889,-337.95450,50.57587,-512.39863,-176.17290,40.65289,-429.85133,-140.30096,57.12919,-473.82610,-203.31181,475.78812,-753.62707,-169.55445,366.10971,-729.60247,-300.55837,99.55082,-782.19518,-346.07860,62.94076,-750.85119,-184.13681,37.48104,-807.23105,-144.48038,55.88564,-755.03267,-204.53205,241.88357,-453.17495,-231.41726,351.05780,-379.09520,-272.97427,248.98378,-404.88818,-223.73280,406.20844,-789.38898,-256.86469,291.27035,-813.30869,-205.26051,775.23829,-385.41966,-173.53622,670.79854,-392.33039,-211.03475,630.27787,-353.60954,-303.26663,740.92392,-342.88070,-266.30415,632.00076,-350.35644,-212.07424,771.60831,-724.14192,-162.92253,645.70535,-740.87503,-318.28870,746.13433,-752.09031,-266.75704,614.07044,-763.77596,-212.27690,913.93078,-406.34190,-383.24572,983.83219,-482.41582,-198.62170,917.72154,-650.30811,-379.63570,984.75870,-598.40221,-264.94836,1421.90185,-487.67937,-222.64484,1381.71320,-335.15874,-192.93625,1415.87845,-633.30228,-145.32320,1361.81372,-460.44064,-138.05021,1362.56421,-499.83379,-242.06166,1257.99238,-267.33265,-356.42190,1077.21508,-326.46016,-330.94625,1089.79221,-247.54067,-209.72843,1082.25403,-258.64815,-113.95310,1090.14734,-292.48320,-109.32788,1055.28584,-278.28365,-210.12102,1282.52081,-724.41682,-320.98707,1110.02097,-702.82620,-303.67829,1125.79877,-781.15343,-198.71302,1108.34136,-758.41608,-88.40217,1099.32368,-696.16998,-87.00525,1069.87765,-709.81837,-309.72213,856.44422,-438.07138,-295.23552,854.76148,-626.88682,-290.77523,857.49174,-443.45813,-285.75754,858.78090,-604.66346,1.86000000,-9.53411437,-0.30641909,-3.30726969,-0.23335379,0.92435618,-0.52973958,22.08709704,6.74608391,6.44852815,20.81010828,0.36320491,5.58130023,-17.49263721,-7.49999987,22.69970797,-9.95946226,-0.11041799,24.17515957,0.42193613,5.72033690,-2.60468297,-7.49999987,-9.55566551,6.84382241,-1.90330207,-5.83623567,-12.94254283,-3.92098005,122.61229167,104.07744023,-11.43837926,-5.52623496,-3.69167651,119.23726007,100.60415543,1.86000000,0.00551218,0.01132211,0.02374973
